route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
2087974001,1240001039244,,瀬戸田線,,3,,,
821794851,1240001039244,,如水館線,,3,,,
3725711698,1240001039244,,東西本線,,3,,,
866760787,1240001039244,,JA尾道総合病院線,,3,,,
1981030781,1240001039244,,立花線,,3,,,
1503516782,1240001039244,,市民病院線,,3,,,
1365247614,1240001039244,,尾道市立大学線,,3,,,
66590572,1240001039244,,尾道工業団地線,,3,,,
3638106082,1240001039244,,三美園線,,3,,,
2945865208,1240001039244,,尾道因島線,,3,,,
3254492749,1240001039244,,びんご運動公園線,,3,,,
1416407239,1240001039244,,向島西循環線,,3,,,
2871111602,1240001039244,,向東線,,3,,,
3038680620,1240001039244,,新尾道駅線,,3,,,
1801,1240001039244,,三美園団地西－尾道工業団地,,3,,,
1521,1240001039244,48,尾道駅前－流通団地東,,3,,,
1522,1240001039244,4,流通団地南－尾道駅前,,3,,,
2592353965,1240001039244,,千光寺公園線,,3,,,
1131,1240001039244,04,駅前渡船－向島支所,,3,,,
