stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1 1,,赤羽根,,34.4223049,133.1974299,1 1,,0,,,,
1 2,,赤羽根,,34.4219667,133.197051,1 2,,0,,,,
10 1,,合同庁舎入口,,34.3981897,133.1697874,10 1,,0,,,,
10 10,,合同庁舎入口,,34.3980609,133.1698366,10 10,,0,,,,
10 2,,合同庁舎入口,,34.3980622,133.1698442,10 2,,0,,,,
100 1,,古島整形外科前,,34.4327334,133.2366972,100 1,,0,,,,
100 2,,古島整形外科前,,34.4327037,133.2368966,100 2,,0,,,,
101 1,,尾道クリニック前,,34.4004537,133.1781782,101 1,,0,,,,
101 2,,尾道クリニック前,,34.400097,133.1774004,101 2,,0,,,,
102 1,,込原,,34.3697485,133.2173581,102 1,,0,,,,
103 1,,西国寺裏参道,,34.4173821,133.2042179,103 1,,0,,,,
104 1,,西国寺下,,34.4122857,133.2046772,104 1,,0,,,,
104 2,,西国寺下,,34.4120483,133.2044339,104 2,,0,,,,
105 1,,DCM尾道店前,,34.406914,133.1903015,105 1,,0,,,,
105 2,,DCM尾道店前,,34.4075398,133.1902556,105 2,,0,,,,
106 1,,三美園,,34.4354334,133.1969242,106 1,,0,,,,
106 10,,三美園,,34.4354345,133.1969242,106 10,,0,,,,
107 1,,三美園口,,34.4441234,133.194273,107 1,,0,,,,
107 2,,三美園口,,34.4442295,133.1946768,107 2,,0,,,,
109 1,,地蔵院下,,34.3884376,133.1983571,109 1,,0,,,,
109 2,,地蔵院下,,34.3885881,133.1981902,109 2,,0,,,,
11 1,,今宮,,34.4401858,133.2317548,11 1,,0,,,,
11 2,,今宮,,34.4405346,133.2321696,11 2,,0,,,,
111 1,,市民病院,,34.4214081,133.2141233,111 1,,0,,,,
111 10,,市民病院,,34.4214081,133.2141294,111 10,,0,,,,
112 1,,市役所前,,34.409597,133.205719,112 1,,0,,,,
112 2,,市役所前,,34.4093332,133.2054278,112 2,,0,,,,
113 1,,高須車庫,,34.4265288,133.2369302,113 1,,0,,,,
113 10,,高須車庫,,34.4265288,133.2369235,113 10,,0,,,,
114 1,,商工会議所前,,34.4084654,133.2029734,114 1,,0,,,,
114 2,,商工会議所前,,34.4082097,133.2028207,114 2,,0,,,,
115 1,,正徳橋,,34.3978787,133.1679044,115 1,,0,,,,
115 2,,正徳橋,,34.3977371,133.1676417,115 2,,0,,,,
116 1,,浄土寺下,,34.411381,133.2101007,116 1,,0,,,,1
116 2,,浄土寺下,,34.4111838,133.2101846,116 2,,0,,,,2
116 3,,浄土寺下,,34.4108498,133.209895,116 3,,0,,,,3
116 4,,浄土寺下,,34.4107736,133.2101705,116 4,,0,,,,4
117 1,,如水館前,,34.4384342,133.1408645,117 1,,0,,,,
