stop_id,direction
1 1,三美園方面
1 2,尾道駅前方面
10 1,高須車庫・東尾道駅・尾道駅前方面
10 10,降車専用
10 2,鳴滝登山口方面
100 1,バイパス東口・東尾道駅方面
100 2,尾道駅前・尾道工業団地・鳴滝登山口方面
101 1,高須車庫・瀬戸田港・東尾道駅・尾道駅前方面
101 2,ＪＡ尾道総合病院・合同庁舎入口・鳴滝登山口方面
102 1,向島支所・江の浦方面
103 1,三美園・尾道駅前方面
104 1,高須車庫・市民病院・瀬戸田港・東尾道駅方面
104 2,尾道駅前方面
105 1,尾道市立大学・陽光台方面
105 2,尾道駅前・合同庁舎入口方面
106 1,尾道駅前方面
106 10,降車専用
107 1,びんご運動公園北門・如水館前・尾道工業団地方面
107 2,高須車庫・尾道駅前方面
109 1,瀬戸田港・土生港前方面
109 2,ＪＡ尾道総合病院・向島支所・尾道駅前方面
11 1,東尾道駅方面
11 2,バイパス東口・尾道駅前・尾道工業団地・鳴滝登山口方面
111 1,各方面
111 10,降車専用
112 1,高須車庫・三美園方面
112 2,尾道駅前方面
113 1,各方面
113 10,降車専用
114 1,高須車庫・三美園方面
114 2,尾道駅前方面
115 1,高須車庫・東尾道駅・尾道駅前方面
115 2,鳴滝登山口方面
116 1,高須車庫・市民病院・瀬戸田港・土生港前・東尾道駅方面
116 2,尾道駅前方面
116 3,（海岸通りバス停発）高須車庫方面
116 4,（海岸通りバス停発）市役所前・尾道駅前方面
117 1,尾道駅前方面
117 10,降車専用
118 1,向島支所方面
119 1,如水館前方面
119 2,尾道駅前方面
12 1,高須車庫・東尾道駅方面
12 2,尾道駅前・尾道工業団地・鳴滝登山口方面
120 1,尾道駅前・合同庁舎方面
120 10,降車専用
120 2,びんご運動公園北門・如水館前・尾道流通団地方面
120 3,びんご運動公園・三美園・尾道市立大学・陽光台方面
121 1,如水館前方面
121 2,尾道駅前方面
122 1,向島支所・潮見ヶ浜方面
123 1,如水館前・尾道駅前方面
124 1,市民病院方面
124 2,尾道駅前方面
125 1,市民病院方面
125 2,尾道駅前方面
125 3,バイパス東口・東尾道駅方面
126 1,市民病院方面
126 2,尾道駅前方面
127 1,高須車庫・瀬戸田港・東尾道駅・尾道駅前方面
127 2,ＪＡ尾道総合病院・合同庁舎入口・鳴滝登山口方面
128 1,各方面
13 1,向島支所方面
130 1,グランド前方面
130 2,尾道駅前方面
131 1,びんご運動公園北門・如水館前・尾道工業団地方面
131 2,高須車庫・尾道駅前方面
132 1,向島支所・江の浦方面
133 1,如水館前・尾道駅前方面
135 1,バイパス東口・高須車庫・東尾道駅方面
135 2,尾道駅前・尾道工業団地・鳴滝登山口方面
136 1,東尾道駅方面
136 2,バイパス東口・尾道駅前・尾道工業団地・鳴滝登山口方面
137 1,瀬戸田港方面
137 2,ＪＡ尾道総合病院・向島支所・尾道駅前方面
138 1,尾道工業団地方面
138 2,松永方面
139 1,向島支所・瀬戸田港方面
139 2,ＪＡ尾道総合病院・江の浦・潮見ヶ浜・尾道駅前方面
14 1,向島支所方面
140 1,向島支所・江の浦方面
141 1,向島支所・江の浦方面
142 1,東尾道駅方面
142 2,尾道駅前方面
145 1,向島支所・江の浦方面
147 1,尾道市立大学・陽光台方面
147 2,合同庁舎入口・尾道駅前方面
148 1,各方面
15 1,土生港方面
15 2,尾道駅前方面
150 1,向島支所・瀬戸田港・土生港前方面
150 2,ＪＡ尾道総合病院・江の浦・潮見ヶ浜・尾道駅前方面
151 1,尾道工業団地方面
151 2,松永方面
152 1,高須車庫・東尾道駅・尾道駅前方面
152 10,降車専用
153 1,グランド前・びんご運動公園・三美園・新尾道駅・如水館前・尾道駅前方面
153 2,尾道駅前方面
154 1,高須車庫・市民病院・瀬戸田港・土生港前・東尾道駅方面
154 10,尾道駅前方面
154 2,尾道駅前方面
154 3,（長江経由）グランド前・びんご運動公園・三美園・新尾道駅・如水館前方面
154 4,尾道駅前方面
