station_sid,same_pole_id,jorudan_code,pickup_and_dropoff_flg,stop_no,direction,stop_group_name
56a75f28-e5ec-4536-9649-1945e503b9e5,77101@HiroshimaArea,,3,,三美園方面,赤羽根@HiroshimaArea
c348eece-c70d-40de-a56f-d174f848a0a1,77102@HiroshimaArea,,3,,尾道駅前方面,赤羽根@HiroshimaArea
0a61c250-a8e9-4b92-b1f5-59de13c662b6,771001@HiroshimaArea,,3,,高須車庫・東尾道駅・尾道駅前方面,合同庁舎入口（尾道市）@HiroshimaArea
8ce0ae91-7042-4fb3-adc3-4a3da1a129cb,7710010@HiroshimaArea,,1,,降車専用,合同庁舎入口@HiroshimaArea
80b6eead-069f-4658-bb15-82484b117856,771002@HiroshimaArea,,3,,鳴滝登山口方面,合同庁舎入口（尾道市）@HiroshimaArea
d81ce71e-4c77-49bd-b233-fabc80326ff7,7710001@HiroshimaArea,,3,,バイパス東口・東尾道駅方面,古島整形外科前@HiroshimaArea
0ce65c39-0c9c-43aa-971d-605c9cf8a70f,7710002@HiroshimaArea,,3,,尾道駅前・尾道工業団地・鳴滝登山口方面,古島整形外科前@HiroshimaArea
f4486242-5368-48d8-8c55-efb7df4754b0,7710101@HiroshimaArea,,3,,高須車庫・瀬戸田港・東尾道駅・尾道駅前方面,尾道クリニック前@HiroshimaArea
bbb2c61a-f603-4d3f-b034-35a516607c37,7710102@HiroshimaArea,,3,,ＪＡ尾道総合病院・合同庁舎入口・鳴滝登山口方面,尾道クリニック前@HiroshimaArea
0ea00f4a-7ecc-4071-aa0d-7af26a12bc74,7710201@HiroshimaArea,,3,,向島支所・江の浦方面,込原@HiroshimaArea
bbabe910-3b66-4efd-a619-f7829010e783,7710301@HiroshimaArea,,3,,三美園・尾道駅前方面,西国寺裏参道@HiroshimaArea
26b11558-a369-4d69-ab38-6168d55105d5,7710401@HiroshimaArea,,3,,高須車庫・市民病院・瀬戸田港・東尾道駅方面,西国寺下@HiroshimaArea
6d1fbe0b-fef0-40f2-9cf5-c53494642e06,7710402@HiroshimaArea,,3,,尾道駅前方面,西国寺下@HiroshimaArea
d19a19a0-e927-4aee-bdde-76f4ae902a2f,7710501@HiroshimaArea,,3,,尾道市立大学・陽光台方面,DCM尾道店前@HiroshimaArea
2411940e-361b-47d5-bc28-adc1e5dfe02d,7710502@HiroshimaArea,,3,,尾道駅前・合同庁舎入口方面,DCM尾道店前@HiroshimaArea
636e3a30-35ac-4441-bdf6-e0c2e429678e,7710601@HiroshimaArea,,3,,尾道駅前方面,三美園@HiroshimaArea
88851e54-f37a-4206-bd1f-5ca049de934c,77106010@HiroshimaArea,,1,,降車専用,三美園@HiroshimaArea
07d7951d-7f7f-4c7c-afa5-2bd92c1724f8,7710701@HiroshimaArea,,3,,びんご運動公園北門・如水館前・尾道工業団地方面,三美園口@HiroshimaArea
efd2290b-2e96-43f1-9720-c0115cf5c8d7,7710702@HiroshimaArea,,3,,高須車庫・尾道駅前方面,三美園口@HiroshimaArea
cc3d7560-0609-43dd-9396-d4f353cb8b1a,7710901@HiroshimaArea,,3,,瀬戸田港・土生港前方面,地蔵院下@HiroshimaArea
c0fa84cd-ab0c-489d-9b7c-81589346b6be,7710902@HiroshimaArea,,3,,ＪＡ尾道総合病院・向島支所・尾道駅前方面,地蔵院下@HiroshimaArea
c5e55657-e598-4477-a93a-5d8439a7382c,771101@HiroshimaArea,,3,,東尾道駅方面,今宮@HiroshimaArea
660428ab-0a11-4f2d-a7c9-169dca61ed5d,771102@HiroshimaArea,,3,,バイパス東口・尾道駅前・尾道工業団地・鳴滝登山口方面,今宮@HiroshimaArea
8b9c1509-cea2-4ec5-ac5a-e4adbc883050,7711101@HiroshimaArea,,3,,各方面,市民病院@HiroshimaArea
66166fe0-d843-4698-a970-762b086915b0,77111010@HiroshimaArea,,1,,降車専用,市民病院@HiroshimaArea
b4e11f49-e5d3-43ea-8bdb-123ef731b00a,7711201@HiroshimaArea,,3,,高須車庫・三美園方面,市役所前（尾道市）@HiroshimaArea
f40294b5-489d-41e8-95b0-d53de6308e83,7711202@HiroshimaArea,,3,,尾道駅前方面,市役所前（尾道市）@HiroshimaArea
4569eb49-3a8b-4dae-8a9f-816ce48f8869,7711301@HiroshimaArea,,3,,各方面,高須車庫@HiroshimaArea
209b00f3-19e0-4b06-b0d9-ff4c9449e50a,77113010@HiroshimaArea,,1,,降車専用,高須車庫@HiroshimaArea
f196f0dd-42cd-424f-8e6b-7a104a2962bc,7711401@HiroshimaArea,,3,,高須車庫・三美園方面,商工会議所前（尾道市）@HiroshimaArea
7df7a645-7d26-4dfe-bba7-7b39ff85936a,7711402@HiroshimaArea,,3,,尾道駅前方面,商工会議所前（尾道市）@HiroshimaArea
e162f84e-62a9-433e-a11e-090b5af29ddd,7711501@HiroshimaArea,,3,,高須車庫・東尾道駅・尾道駅前方面,正徳橋@HiroshimaArea
59e4ee6b-21c3-49a5-bc69-06c9e95d87cc,7711502@HiroshimaArea,,3,,鳴滝登山口方面,正徳橋@HiroshimaArea
75988845-897a-49e3-b4f8-92b989fd0b99,7711601@HiroshimaArea,,3,1,高須車庫・市民病院・瀬戸田港・土生港前・東尾道駅方面,浄土寺下@HiroshimaArea
e3a91057-93ee-4f3c-bc54-eec84a784e94,7711602@HiroshimaArea,,3,2,尾道駅前方面,浄土寺下@HiroshimaArea
0e45470f-309a-4996-ada3-9bd0699886b1,7711603@HiroshimaArea,,3,3,（海岸通りバス停発）高須車庫方面,浄土寺下@HiroshimaArea
