table_name,field_name,language,translation,record_id,record_sub_id,field_value
agency,agency_name,ja,おのみちバス,1240001039244,,
agency,agency_name,ja-Hrkt,オノミチバス,1240001039244,,
stops,stop_name,ja,赤羽根,1 1,,
stops,stop_name,ja-Hrkt,アカバネ,1 1,,
stops,stop_name,en,Akabane,1 1,,
stops,stop_name,ko,아카바네,1 1,,
stops,stop_name,zh-cn,赤羽根,1 1,,
stops,stop_name,zh-tw,赤羽根,1 1,,
stops,stop_name,ja,赤羽根,1 2,,
stops,stop_name,ja-Hrkt,アカバネ,1 2,,
stops,stop_name,en,Akabane,1 2,,
stops,stop_name,ko,아카바네,1 2,,
stops,stop_name,zh-cn,赤羽根,1 2,,
stops,stop_name,zh-tw,赤羽根,1 2,,
stops,stop_name,ja,合同庁舎入口,10 1,,
stops,stop_name,ja-Hrkt,ゴウドウチョウシャイリグチ,10 1,,
stops,stop_name,en,Godochosha-iriguchi (Joint Government Building Entrance),10 1,,
stops,stop_name,ko,합동청사,10 1,,
stops,stop_name,zh-cn,合同政府办公楼入口,10 1,,
stops,stop_name,zh-tw,合同政府辦公樓入口,10 1,,
stops,stop_name,ja,合同庁舎入口,10 10,,
stops,stop_name,ja-Hrkt,ゴウドウチョウシャイリグチ,10 10,,
stops,stop_name,en,Godochosha-iriguchi (Joint Government Building Entrance),10 10,,
stops,stop_name,ko,합동청사,10 10,,
stops,stop_name,zh-cn,合同政府办公楼入口,10 10,,
stops,stop_name,zh-tw,合同政府辦公樓入口,10 10,,
stops,stop_name,ja,合同庁舎入口,10 2,,
stops,stop_name,ja-Hrkt,ゴウドウチョウシャイリグチ,10 2,,
stops,stop_name,en,Godochosha-iriguchi (Joint Government Building Entrance),10 2,,
stops,stop_name,ko,합동청사,10 2,,
stops,stop_name,zh-cn,合同政府办公楼入口,10 2,,
stops,stop_name,zh-tw,合同政府辦公樓入口,10 2,,
stops,stop_name,ja,古島整形外科前,100 1,,
stops,stop_name,ja-Hrkt,コジマセイケイゲカマ,100 1,,
stops,stop_name,en,Kojima Sekegeka-mae (Kojima Orthopedic Clinic),100 1,,
stops,stop_name,ko,고지마 정형외과,100 1,,
stops,stop_name,zh-cn,古岛整形外科前,100 1,,
stops,stop_name,zh-tw,古島整形外科前,100 1,,
stops,stop_name,ja,古島整形外科前,100 2,,
stops,stop_name,ja-Hrkt,コジマセイケイゲカマ,100 2,,
stops,stop_name,en,Kojima Sekegeka-mae (Kojima Orthopedic Clinic),100 2,,
stops,stop_name,ko,고지마 정형외과,100 2,,
stops,stop_name,zh-cn,古岛整形外科前,100 2,,
stops,stop_name,zh-tw,古島整形外科前,100 2,,
stops,stop_name,ja,尾道クリニック前,101 1,,
stops,stop_name,ja-Hrkt,オノミチクリニックマ,101 1,,
stops,stop_name,en,Onomichi Clinic-mae,101 1,,
stops,stop_name,ko,오노미치 클리닉,101 1,,
stops,stop_name,zh-cn,尾道诊所前,101 1,,
stops,stop_name,zh-tw,尾道診所前,101 1,,
stops,stop_name,ja,尾道クリニック前,101 2,,
stops,stop_name,ja-Hrkt,オノミチクリニックマ,101 2,,
stops,stop_name,en,Onomichi Clinic-mae,101 2,,
stops,stop_name,ko,오노미치 클리닉,101 2,,
stops,stop_name,zh-cn,尾道诊所前,101 2,,
stops,stop_name,zh-tw,尾道診所前,101 2,,
stops,stop_name,ja,込原,102 1,,
stops,stop_name,ja-Hrkt,コミハラ,102 1,,
stops,stop_name,en,Komihara,102 1,,
stops,stop_name,ko,고미하라,102 1,,
stops,stop_name,zh-cn,込原,102 1,,
stops,stop_name,zh-tw,込原,102 1,,
stops,stop_name,ja,西国寺裏参道,103 1,,
stops,stop_name,ja-Hrkt,サイコクジウラサンド,103 1,,
stops,stop_name,en,Saikokuji Ura-sando (Saikokuji Temple),103 1,,
stops,stop_name,ko,사이코쿠지 우라산도,103 1,,
stops,stop_name,zh-cn,西国寺里参道,103 1,,
stops,stop_name,zh-tw,西國寺裡參道,103 1,,
stops,stop_name,ja,西国寺下,104 1,,
stops,stop_name,ja-Hrkt,サコクジシタ,104 1,,
stops,stop_name,en,Saikokuji-shita (Saikokuji Temple),104 1,,
stops,stop_name,ko,사이코쿠지 시타,104 1,,
stops,stop_name,zh-cn,西国寺下,104 1,,
stops,stop_name,zh-tw,西國寺下,104 1,,
stops,stop_name,ja,西国寺下,104 2,,
stops,stop_name,ja-Hrkt,サコクジシタ,104 2,,
stops,stop_name,en,Saikokuji-shita (Saikokuji Temple),104 2,,
stops,stop_name,ko,사이코쿠지 시타,104 2,,
stops,stop_name,zh-cn,西国寺下,104 2,,
stops,stop_name,zh-tw,西國寺下,104 2,,
stops,stop_name,ja,DCM尾道店前,105 1,,
stops,stop_name,ja-Hrkt,ディーシーエムオノミチテンマエ,105 1,,
stops,stop_name,en,DCM-Onomichiten-mae,105 1,,
stops,stop_name,ko,DCM오노미치텐 마에,105 1,,
stops,stop_name,zh-cn,DCM尾道店前,105 1,,
stops,stop_name,zh-tw,DCM尾道店前,105 1,,
stops,stop_name,ja,DCM尾道店前,105 2,,
stops,stop_name,ja-Hrkt,ディーシーエムオノミチテンマエ,105 2,,
stops,stop_name,en,DCM-Onomichiten-mae,105 2,,
stops,stop_name,ko,DCM오노미치텐 마에,105 2,,
stops,stop_name,zh-cn,DCM尾道店前,105 2,,
stops,stop_name,zh-tw,DCM尾道店前,105 2,,
stops,stop_name,ja,三美園,106 1,,
stops,stop_name,ja-Hrkt,サンビエン,106 1,,
stops,stop_name,en,Sambien,106 1,,
stops,stop_name,ko,산비엔,106 1,,
stops,stop_name,zh-cn,三美园,106 1,,
stops,stop_name,zh-tw,三美園,106 1,,
stops,stop_name,ja,三美園,106 10,,
stops,stop_name,ja-Hrkt,サンビエン,106 10,,
stops,stop_name,en,Sambien,106 10,,
stops,stop_name,ko,산비엔,106 10,,
stops,stop_name,zh-cn,三美园,106 10,,
stops,stop_name,zh-tw,三美園,106 10,,
stops,stop_name,ja,三美園口,107 1,,
stops,stop_name,ja-Hrkt,サンビエングチ,107 1,,
stops,stop_name,en,Sambien-guchi,107 1,,
stops,stop_name,ko,산비엔 구치,107 1,,
stops,stop_name,zh-cn,三美园口,107 1,,
stops,stop_name,zh-tw,三美園口,107 1,,
stops,stop_name,ja,三美園口,107 2,,
stops,stop_name,ja-Hrkt,サンビエングチ,107 2,,
stops,stop_name,en,Sambien-guchi,107 2,,
stops,stop_name,ko,산비엔 구치,107 2,,
stops,stop_name,zh-cn,三美园口,107 2,,
stops,stop_name,zh-tw,三美園口,107 2,,
stops,stop_name,ja,地蔵院下,109 1,,
stops,stop_name,ja-Hrkt,ジゾウインシタ,109 1,,
stops,stop_name,en,Jizoin-shita,109 1,,
stops,stop_name,ko,지조인 시타,109 1,,
stops,stop_name,zh-cn,地藏院下,109 1,,
stops,stop_name,zh-tw,地蔵院下,109 1,,
stops,stop_name,ja,地蔵院下,109 2,,
stops,stop_name,ja-Hrkt,ジゾウインシタ,109 2,,
stops,stop_name,en,Jizoin-shita,109 2,,
stops,stop_name,ko,지조인 시타,109 2,,
stops,stop_name,zh-cn,地藏院下,109 2,,
stops,stop_name,zh-tw,地蔵院下,109 2,,
stops,stop_name,ja,今宮,11 1,,
stops,stop_name,ja-Hrkt,イマミヤ,11 1,,
stops,stop_name,en,Imamiya,11 1,,
stops,stop_name,ko,이마미야,11 1,,
stops,stop_name,zh-cn,今宫,11 1,,
stops,stop_name,zh-tw,今宮,11 1,,
stops,stop_name,ja,今宮,11 2,,
stops,stop_name,ja-Hrkt,イマミヤ,11 2,,
stops,stop_name,en,Imamiya,11 2,,
stops,stop_name,ko,이마미야,11 2,,
stops,stop_name,zh-cn,今宫,11 2,,
stops,stop_name,zh-tw,今宮,11 2,,
stops,stop_name,ja,市民病院,111 1,,
stops,stop_name,ja-Hrkt,シミンビョウイン,111 1,,
stops,stop_name,en,Shimin Byoin (City Hospital),111 1,,
stops,stop_name,ko,시민병원,111 1,,
stops,stop_name,zh-cn,市民医院,111 1,,
stops,stop_name,zh-tw,市民醫院,111 1,,
stops,stop_name,ja,市民病院,111 10,,
stops,stop_name,ja-Hrkt,シミンビョウイン,111 10,,
stops,stop_name,en,Shimin Byoin (City Hospital),111 10,,
stops,stop_name,ko,시민병원,111 10,,
stops,stop_name,zh-cn,市民医院,111 10,,
stops,stop_name,zh-tw,市民醫院,111 10,,
stops,stop_name,ja,市役所前,112 1,,
stops,stop_name,ja-Hrkt,シヤクショマエ,112 1,,
stops,stop_name,en,Shiyakusho-mae (City Hall),112 1,,
stops,stop_name,ko,시청,112 1,,
stops,stop_name,zh-cn,市政府前,112 1,,
stops,stop_name,zh-tw,市政府前,112 1,,
stops,stop_name,ja,市役所前,112 2,,
stops,stop_name,ja-Hrkt,シヤクショマエ,112 2,,
stops,stop_name,en,Shiyakusho-mae (City Hall),112 2,,
stops,stop_name,ko,시청,112 2,,
stops,stop_name,zh-cn,市政府前,112 2,,
stops,stop_name,zh-tw,市政府前,112 2,,
