table_name,field_name,language,translation,record_id,record_sub_id,field_value,station_sid,course_sid
agency,agency_name,ja,おのみちバス,1240001039244,,,,
agency,agency_name,ja-Hrkt,オノミチバス,1240001039244,,,,
stops,stop_name,ja,赤羽根,1 1,,,56a75f28-e5ec-4536-9649-1945e503b9e5,
stops,stop_name,ja-Hrkt,アカバネ,1 1,,,56a75f28-e5ec-4536-9649-1945e503b9e5,
stops,stop_name,en,Akabane,1 1,,,56a75f28-e5ec-4536-9649-1945e503b9e5,
stops,stop_name,ko,아카바네,1 1,,,56a75f28-e5ec-4536-9649-1945e503b9e5,
stops,stop_name,zh-cn,赤羽根,1 1,,,56a75f28-e5ec-4536-9649-1945e503b9e5,
stops,stop_name,zh-tw,赤羽根,1 1,,,56a75f28-e5ec-4536-9649-1945e503b9e5,
stops,stop_name,ja,赤羽根,1 2,,,c348eece-c70d-40de-a56f-d174f848a0a1,
stops,stop_name,ja-Hrkt,アカバネ,1 2,,,c348eece-c70d-40de-a56f-d174f848a0a1,
stops,stop_name,en,Akabane,1 2,,,c348eece-c70d-40de-a56f-d174f848a0a1,
stops,stop_name,ko,아카바네,1 2,,,c348eece-c70d-40de-a56f-d174f848a0a1,
stops,stop_name,zh-cn,赤羽根,1 2,,,c348eece-c70d-40de-a56f-d174f848a0a1,
stops,stop_name,zh-tw,赤羽根,1 2,,,c348eece-c70d-40de-a56f-d174f848a0a1,
stops,stop_name,ja,合同庁舎入口,10 1,,,0a61c250-a8e9-4b92-b1f5-59de13c662b6,
stops,stop_name,ja-Hrkt,ゴウドウチョウシャイリグチ,10 1,,,0a61c250-a8e9-4b92-b1f5-59de13c662b6,
stops,stop_name,en,Godochosha-iriguchi (Joint Government Building Entrance),10 1,,,0a61c250-a8e9-4b92-b1f5-59de13c662b6,
stops,stop_name,ko,합동청사,10 1,,,0a61c250-a8e9-4b92-b1f5-59de13c662b6,
stops,stop_name,zh-cn,合同政府办公楼入口,10 1,,,0a61c250-a8e9-4b92-b1f5-59de13c662b6,
stops,stop_name,zh-tw,合同政府辦公樓入口,10 1,,,0a61c250-a8e9-4b92-b1f5-59de13c662b6,
stops,stop_name,ja,合同庁舎入口,10 10,,,8ce0ae91-7042-4fb3-adc3-4a3da1a129cb,
stops,stop_name,ja-Hrkt,ゴウドウチョウシャイリグチ,10 10,,,8ce0ae91-7042-4fb3-adc3-4a3da1a129cb,
stops,stop_name,en,Godochosha-iriguchi (Joint Government Building Entrance),10 10,,,8ce0ae91-7042-4fb3-adc3-4a3da1a129cb,
stops,stop_name,ko,합동청사,10 10,,,8ce0ae91-7042-4fb3-adc3-4a3da1a129cb,
stops,stop_name,zh-cn,合同政府办公楼入口,10 10,,,8ce0ae91-7042-4fb3-adc3-4a3da1a129cb,
stops,stop_name,zh-tw,合同政府辦公樓入口,10 10,,,8ce0ae91-7042-4fb3-adc3-4a3da1a129cb,
stops,stop_name,ja,合同庁舎入口,10 2,,,80b6eead-069f-4658-bb15-82484b117856,
stops,stop_name,ja-Hrkt,ゴウドウチョウシャイリグチ,10 2,,,80b6eead-069f-4658-bb15-82484b117856,
stops,stop_name,en,Godochosha-iriguchi (Joint Government Building Entrance),10 2,,,80b6eead-069f-4658-bb15-82484b117856,
stops,stop_name,ko,합동청사,10 2,,,80b6eead-069f-4658-bb15-82484b117856,
stops,stop_name,zh-cn,合同政府办公楼入口,10 2,,,80b6eead-069f-4658-bb15-82484b117856,
stops,stop_name,zh-tw,合同政府辦公樓入口,10 2,,,80b6eead-069f-4658-bb15-82484b117856,
stops,stop_name,ja,古島整形外科前,100 1,,,d81ce71e-4c77-49bd-b233-fabc80326ff7,
stops,stop_name,ja-Hrkt,コジマセイケイゲカマ,100 1,,,d81ce71e-4c77-49bd-b233-fabc80326ff7,
stops,stop_name,en,Kojima Sekegeka-mae (Kojima Orthopedic Clinic),100 1,,,d81ce71e-4c77-49bd-b233-fabc80326ff7,
stops,stop_name,ko,고지마 정형외과,100 1,,,d81ce71e-4c77-49bd-b233-fabc80326ff7,
stops,stop_name,zh-cn,古岛整形外科前,100 1,,,d81ce71e-4c77-49bd-b233-fabc80326ff7,
stops,stop_name,zh-tw,古島整形外科前,100 1,,,d81ce71e-4c77-49bd-b233-fabc80326ff7,
stops,stop_name,ja,古島整形外科前,100 2,,,0ce65c39-0c9c-43aa-971d-605c9cf8a70f,
stops,stop_name,ja-Hrkt,コジマセイケイゲカマ,100 2,,,0ce65c39-0c9c-43aa-971d-605c9cf8a70f,
stops,stop_name,en,Kojima Sekegeka-mae (Kojima Orthopedic Clinic),100 2,,,0ce65c39-0c9c-43aa-971d-605c9cf8a70f,
stops,stop_name,ko,고지마 정형외과,100 2,,,0ce65c39-0c9c-43aa-971d-605c9cf8a70f,
stops,stop_name,zh-cn,古岛整形外科前,100 2,,,0ce65c39-0c9c-43aa-971d-605c9cf8a70f,
stops,stop_name,zh-tw,古島整形外科前,100 2,,,0ce65c39-0c9c-43aa-971d-605c9cf8a70f,
stops,stop_name,ja,尾道クリニック前,101 1,,,f4486242-5368-48d8-8c55-efb7df4754b0,
stops,stop_name,ja-Hrkt,オノミチクリニックマ,101 1,,,f4486242-5368-48d8-8c55-efb7df4754b0,
stops,stop_name,en,Onomichi Clinic-mae,101 1,,,f4486242-5368-48d8-8c55-efb7df4754b0,
stops,stop_name,ko,오노미치 클리닉,101 1,,,f4486242-5368-48d8-8c55-efb7df4754b0,
stops,stop_name,zh-cn,尾道诊所前,101 1,,,f4486242-5368-48d8-8c55-efb7df4754b0,
stops,stop_name,zh-tw,尾道診所前,101 1,,,f4486242-5368-48d8-8c55-efb7df4754b0,
stops,stop_name,ja,尾道クリニック前,101 2,,,bbb2c61a-f603-4d3f-b034-35a516607c37,
stops,stop_name,ja-Hrkt,オノミチクリニックマ,101 2,,,bbb2c61a-f603-4d3f-b034-35a516607c37,
stops,stop_name,en,Onomichi Clinic-mae,101 2,,,bbb2c61a-f603-4d3f-b034-35a516607c37,
stops,stop_name,ko,오노미치 클리닉,101 2,,,bbb2c61a-f603-4d3f-b034-35a516607c37,
stops,stop_name,zh-cn,尾道诊所前,101 2,,,bbb2c61a-f603-4d3f-b034-35a516607c37,
stops,stop_name,zh-tw,尾道診所前,101 2,,,bbb2c61a-f603-4d3f-b034-35a516607c37,
stops,stop_name,ja,込原,102 1,,,0ea00f4a-7ecc-4071-aa0d-7af26a12bc74,
stops,stop_name,ja-Hrkt,コミハラ,102 1,,,0ea00f4a-7ecc-4071-aa0d-7af26a12bc74,
stops,stop_name,en,Komihara,102 1,,,0ea00f4a-7ecc-4071-aa0d-7af26a12bc74,
stops,stop_name,ko,고미하라,102 1,,,0ea00f4a-7ecc-4071-aa0d-7af26a12bc74,
stops,stop_name,zh-cn,込原,102 1,,,0ea00f4a-7ecc-4071-aa0d-7af26a12bc74,
stops,stop_name,zh-tw,込原,102 1,,,0ea00f4a-7ecc-4071-aa0d-7af26a12bc74,
stops,stop_name,ja,西国寺裏参道,103 1,,,bbabe910-3b66-4efd-a619-f7829010e783,
stops,stop_name,ja-Hrkt,サイコクジウラサンド,103 1,,,bbabe910-3b66-4efd-a619-f7829010e783,
stops,stop_name,en,Saikokuji Ura-sando (Saikokuji Temple),103 1,,,bbabe910-3b66-4efd-a619-f7829010e783,
stops,stop_name,ko,사이코쿠지 우라산도,103 1,,,bbabe910-3b66-4efd-a619-f7829010e783,
stops,stop_name,zh-cn,西国寺里参道,103 1,,,bbabe910-3b66-4efd-a619-f7829010e783,
stops,stop_name,zh-tw,西國寺裡參道,103 1,,,bbabe910-3b66-4efd-a619-f7829010e783,
stops,stop_name,ja,西国寺下,104 1,,,26b11558-a369-4d69-ab38-6168d55105d5,
stops,stop_name,ja-Hrkt,サコクジシタ,104 1,,,26b11558-a369-4d69-ab38-6168d55105d5,
stops,stop_name,en,Saikokuji-shita (Saikokuji Temple),104 1,,,26b11558-a369-4d69-ab38-6168d55105d5,
stops,stop_name,ko,사이코쿠지 시타,104 1,,,26b11558-a369-4d69-ab38-6168d55105d5,
stops,stop_name,zh-cn,西国寺下,104 1,,,26b11558-a369-4d69-ab38-6168d55105d5,
stops,stop_name,zh-tw,西國寺下,104 1,,,26b11558-a369-4d69-ab38-6168d55105d5,
stops,stop_name,ja,西国寺下,104 2,,,6d1fbe0b-fef0-40f2-9cf5-c53494642e06,
stops,stop_name,ja-Hrkt,サコクジシタ,104 2,,,6d1fbe0b-fef0-40f2-9cf5-c53494642e06,
stops,stop_name,en,Saikokuji-shita (Saikokuji Temple),104 2,,,6d1fbe0b-fef0-40f2-9cf5-c53494642e06,
stops,stop_name,ko,사이코쿠지 시타,104 2,,,6d1fbe0b-fef0-40f2-9cf5-c53494642e06,
stops,stop_name,zh-cn,西国寺下,104 2,,,6d1fbe0b-fef0-40f2-9cf5-c53494642e06,
stops,stop_name,zh-tw,西國寺下,104 2,,,6d1fbe0b-fef0-40f2-9cf5-c53494642e06,
