daiya_sid,bin_no,course_sid
3a35ad5c-2bee-4fcf-b4ed-41c66cf4ebda,1,c2c3d6f1-b055-4452-b14e-08383315de6a
8341ef95-a1a0-466c-ab94-41fa0166d877,17,a727ce85-3800-47c4-a4e6-0b768acbc219
d72080f7-3b0a-4387-a0a2-4784219d9f95,13,a727ce85-3800-47c4-a4e6-0b768acbc219
a6efa00e-dc0a-4397-a54e-7cb23a439702,9,a727ce85-3800-47c4-a4e6-0b768acbc219
d7bda8cd-2a51-49ba-a8b5-0758746a4055,1,a727ce85-3800-47c4-a4e6-0b768acbc219
f798c879-7925-4c78-81ba-1d109937a726,4,a727ce85-3800-47c4-a4e6-0b768acbc219
40e6b2de-4ede-4ec9-aa57-23b27d710496,1,a727ce85-3800-47c4-a4e6-0b768acbc219
d0b783de-4c40-4937-aa5c-23ba9d0ab243,7,a727ce85-3800-47c4-a4e6-0b768acbc219
b02b425e-460e-4f7c-a7b7-2efd158162f4,5,a727ce85-3800-47c4-a4e6-0b768acbc219
39c2ac08-3ce1-40c3-84b9-8859f8a09811,4,a727ce85-3800-47c4-a4e6-0b768acbc219
d6eae6f0-3cbf-4dcc-8c79-9f432fa16bda,1,a727ce85-3800-47c4-a4e6-0b768acbc219
8a243780-9ad8-4234-90f9-abec93807451,10,a727ce85-3800-47c4-a4e6-0b768acbc219
afaba317-c3a5-4f43-ae7e-e076afb2e21a,2,a727ce85-3800-47c4-a4e6-0b768acbc219
434a0ece-0f88-4f21-b0d2-fab0fcddabe6,3,a727ce85-3800-47c4-a4e6-0b768acbc219
c511d066-8eb2-443b-9337-d9225cd495d6,9,010c9650-59c3-438e-b2ac-127425dd9d10
2d70fa26-2e6a-4e15-838e-ca784c5d608b,7,010c9650-59c3-438e-b2ac-127425dd9d10
f9634576-a652-49df-8acd-a04f164f7bf5,9,010c9650-59c3-438e-b2ac-127425dd9d10
84879a7d-1a12-47c8-99ba-9b00fe2f9da6,2,010c9650-59c3-438e-b2ac-127425dd9d10
3f9c9ecc-25eb-49f3-a79d-7fb47e584a6d,17,010c9650-59c3-438e-b2ac-127425dd9d10
c39e31f4-343b-4db1-8ccd-851bd80f612e,5,010c9650-59c3-438e-b2ac-127425dd9d10
6b1e9695-9490-4f21-a06f-9164e5618538,13,010c9650-59c3-438e-b2ac-127425dd9d10
e7f342fc-9835-4dfa-b7f3-25cad33deba4,1,010c9650-59c3-438e-b2ac-127425dd9d10
8bd6dbde-991b-4cd3-b416-30f431d2493a,4,010c9650-59c3-438e-b2ac-127425dd9d10
0187111c-a664-4123-a862-218a5b25c4db,5,010c9650-59c3-438e-b2ac-127425dd9d10
9ba5c374-1b37-4e4f-bd3b-2336c6fd969f,17,010c9650-59c3-438e-b2ac-127425dd9d10
e88baab6-83f1-47f0-9fba-1e46a76a72ac,1,010c9650-59c3-438e-b2ac-127425dd9d10
5a5826af-4bf2-41c3-b95c-1ade67a4d632,1,010c9650-59c3-438e-b2ac-127425dd9d10
519bf61b-cb65-4362-81eb-086db328aec9,1,010c9650-59c3-438e-b2ac-127425dd9d10
67d035e4-b562-41cf-bf08-18dabf3b7689,4,010c9650-59c3-438e-b2ac-127425dd9d10
25fa07e3-67bd-4136-98fb-78ec08360056,1,010c9650-59c3-438e-b2ac-127425dd9d10
f7732fd3-3d3a-4689-ae22-72754a66f5c6,13,010c9650-59c3-438e-b2ac-127425dd9d10
62973d5d-6b69-4422-a9a3-6bac0644fd17,5,010c9650-59c3-438e-b2ac-127425dd9d10
6b70d4a4-a28f-46c7-b8ee-6bcdfa38b7ab,3,010c9650-59c3-438e-b2ac-127425dd9d10
4fa2533d-b91a-443a-9a0b-47fd8b5ce986,9,010c9650-59c3-438e-b2ac-127425dd9d10
ec173d99-60c6-4a81-ab9c-4fdd14665e7b,7,010c9650-59c3-438e-b2ac-127425dd9d10
f10cfd3d-29e7-421d-a39f-35c9054cf47b,13,010c9650-59c3-438e-b2ac-127425dd9d10
13674250-2994-4096-8f89-399a64eff06c,1,010c9650-59c3-438e-b2ac-127425dd9d10
