service_id,date,exception_type
日曜・祝日,20260720,1
平日（月～金）,20260720,2
土曜,20260720,2
日曜・祝日,20260811,1
平日（月～金）,20260811,2
土曜,20260811,2
日曜・祝日,20260813,1
平日（月～金）,20260813,2
土曜,20260813,2
日曜・祝日,20260814,1
平日（月～金）,20260814,2
土曜,20260814,2
日曜・祝日,20260921,1
平日（月～金）,20260921,2
土曜,20260921,2
日曜・祝日,20260922,1
平日（月～金）,20260922,2
土曜,20260922,2
日曜・祝日,20260923,1
平日（月～金）,20260923,2
土曜,20260923,2
日曜・祝日,20261012,1
平日（月～金）,20261012,2
土曜,20261012,2
日曜・祝日,20261103,1
平日（月～金）,20261103,2
土曜,20261103,2
日曜・祝日,20261123,1
平日（月～金）,20261123,2
土曜,20261123,2
