station_sid,daiya_sid,course_station_desc,course_station_desc_symbol,stop_sequence,course_no,ikisaki_main,ikisaki_sub
9b52acf0-81ab-4003-8c69-652e0a4c55eb,77ac1e24-3728-45e9-bafd-035a9d9066cc,,,1,,鳴川,県営住宅前・土井
8d0cf906-5243-4edf-8e57-1a46ae3aa4c4,77ac1e24-3728-45e9-bafd-035a9d9066cc,,,2,,鳴川,県営住宅前・土井
e05d622e-336c-49c9-93be-c2b0878129a6,77ac1e24-3728-45e9-bafd-035a9d9066cc,,,3,,鳴川,県営住宅前・土井
c926e942-8d03-453d-83bf-f15ebbf3e716,77ac1e24-3728-45e9-bafd-035a9d9066cc,,,4,,鳴川,県営住宅前・土井
88305ab5-c487-458a-be02-5876a24ee4b1,77ac1e24-3728-45e9-bafd-035a9d9066cc,,,5,,鳴川,県営住宅前・土井
8d0a7c51-1e25-47aa-9896-7a23daa7bb87,77ac1e24-3728-45e9-bafd-035a9d9066cc,,,6,,鳴川,県営住宅前・土井
7008802d-ef48-4f26-a621-4a6076130179,77ac1e24-3728-45e9-bafd-035a9d9066cc,,,7,,鳴川,土井・大野支所前
20c8e77b-7d9b-494b-b1fc-ef797d6d2428,77ac1e24-3728-45e9-bafd-035a9d9066cc,,,8,,鳴川,土井・大野支所前
b5cea573-8157-4334-8a8e-9cc275b83bcc,77ac1e24-3728-45e9-bafd-035a9d9066cc,,,9,,鳴川,土井・大野支所前
f1906b49-7e5e-4267-99e1-099394028737,77ac1e24-3728-45e9-bafd-035a9d9066cc,,,10,,鳴川,土井・大野支所前
fd6a3123-b9d1-4aa1-a023-80ee78a390e5,77ac1e24-3728-45e9-bafd-035a9d9066cc,,,11,,鳴川,土井・大野支所前
b05de35c-69f2-42f4-a7ec-f96dc3aab0f9,77ac1e24-3728-45e9-bafd-035a9d9066cc,,,12,,鳴川,土井・大野支所前
028446e0-419c-47f1-8026-daa60b5b1095,77ac1e24-3728-45e9-bafd-035a9d9066cc,,,13,,鳴川,土井・大野支所前
