stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1010 1,,宮島口,,34.3114284,132.3046202,1010 1,,0,,,,
1020 1,,更地分れ,,34.3102398,132.3026451,1020 1,,0,,,,
1020 2,,更地分れ,,34.3093386,132.3014848,1020 2,,0,,,,
1030 1,,宮島口西,,34.3066015,132.2993782,1030 1,,0,,,,
1030 2,,宮島口西,,34.3063264,132.2983967,1030 2,,0,,,,
1070 1,,大野支所前,,34.286841,132.2764324,1070 1,,0,,,,
1090 1,,県営住宅前,,34.3226186,132.3031617,1090 1,,0,,,,
1090 2,,県営住宅前,,34.3225343,132.3032484,1090 2,,0,,,,
1100 1,,青葉台,,34.3199797,132.3006768,1100 1,,0,,,,
1100 2,,青葉台,,34.3196166,132.3004397,1100 2,,0,,,,
1110 1,,福面,,34.3169668,132.2974771,1110 1,,0,,,,
1110 2,,福面,,34.3174534,132.2979775,1110 2,,0,,,,
1120 1,,グリーンハイツ,,34.314187,132.294843,1120 1,,0,,,,
1120 2,,グリーンハイツ,,34.3145227,132.2956345,1120 2,,0,,,,
1130 1,,深江,,34.3071729,132.2981224,1130 1,,0,,,,
1130 2,,深江,,34.3076154,132.2974573,1130 2,,0,,,,
1140 1,,深江保育園,,34.3092207,132.2962825,1140 1,,0,,,,
1140 2,,深江保育園,,34.3090608,132.2962858,1140 2,,0,,,,
1150 1,,更地,,34.3135937,132.2909464,1150 1,,0,,,,
1150 2,,更地,,34.3130962,132.2900611,1150 2,,0,,,,
1160 1,,下更地,,34.3123838,132.2887336,1160 1,,0,,,,
1160 2,,下更地,,34.3112949,132.287982,1160 2,,0,,,,
1170 1,,前空台入口,,34.3088661,132.2864583,1170 1,,0,,,,
1170 2,,前空台入口,,34.3090232,132.2867684,1170 2,,0,,,,
1180 2,,別府,,34.3063322,132.2844654,1180 2,,0,,,,
1190 2,,土井,,34.3044769,132.282516,1190 2,,0,,,,
1200 2,,棚田,,34.3031735,132.2810116,1200 2,,0,,,,
1210 1,,宮島工業高校,,34.2971442,132.2828591,1210 1,,0,,,,
1210 2,,宮島工業高校,,34.2971688,132.2830011,1210 2,,0,,,,
1220 1,,池田保育園,,34.2990372,132.2795267,1220 1,,0,,,,
1220 2,,池田保育園,,34.2993985,132.2795106,1220 2,,0,,,,
1230 1,,まるくる大野,,34.2977152,132.2767552,1230 1,,0,,,,
1240 1,,高畑,,34.3013001,132.27826,1240 1,,0,,,,
1240 2,,高畑,,34.3003706,132.2774099,1240 2,,0,,,,
1250 1,,筏津,,34.2994131,132.2756101,1250 1,,0,,,,
1250 2,,筏津,,34.2988931,132.2752696,1250 2,,0,,,,
1260 1,,西教寺,,34.2972992,132.2724215,1260 1,,0,,,,
1260 2,,西教寺,,34.2970372,132.2725026,1260 2,,0,,,,
1270 1,,妹背の滝,,34.2950609,132.2711863,1270 1,,0,,,,
1270 2,,妹背の滝,,34.2951486,132.2713685,1270 2,,0,,,,
1280 1,,前空六丁目,,34.3053914,132.286913,1280 1,,0,,,,
1280 2,,前空六丁目,,34.3053908,132.2869153,1280 2,,0,,,,
1290 1,,前空駅,,34.3011731,132.2893722,1290 1,,0,,,,
1300 1,,前空一丁目,,34.302165,132.2860327,1300 1,,0,,,,
1300 2,,前空一丁目,,34.3017629,132.2855402,1300 2,,0,,,,
1310 1,,物見東,,34.2986534,132.2813155,1310 1,,0,,,,
1310 2,,物見東,,34.2983861,132.2812706,1310 2,,0,,,,
1320 1,,物見西,,34.2958828,132.2836677,1320 1,,0,,,,
1320 2,,物見西,,34.2958818,132.2836698,1320 2,,0,,,,
1330 1,,橋本,,34.2911447,132.2746053,1330 1,,0,,,,
1330 2,,橋本,,34.2910048,132.2745316,1330 2,,0,,,,
1340 1,,滝の下,,34.2943519,132.2719673,1340 1,,0,,,,
1340 2,,滝の下,,34.2944611,132.272123,1340 2,,0,,,,
1350 1,,大野中学校,,34.2914644,132.2707081,1350 1,,0,,,,
1350 2,,大野中学校,,34.2914671,132.2707053,1350 2,,0,,,,
1360 1,,大野西小学校,,34.2900747,132.2694916,1360 1,,0,,,,
1360 2,,大野西小学校,,34.29007806,132.2694939,1360 2,,0,,,,
1370 1,,大野浦駅北口,,34.2848287,132.2655236,1370 1,,0,,,,
1370 2,,大野浦駅北口,,34.2848319,132.2655257,1370 2,,0,,,,
1380 1,,船倉,,34.2827611,132.2637587,1380 1,,0,,,,
1380 2,,船倉,,34.2825012,132.2641081,1380 2,,0,,,,
1390 1,,林が原,,34.2794533,132.2624728,1390 1,,0,,,,
1390 2,,林が原,,34.2794793,132.2627767,1390 2,,0,,,,
1400 1,,丸石上,,34.2775736,132.2582245,1400 1,,0,,,,
1400 2,,丸石上,,34.2774782,132.2581113,1400 2,,0,,,,
1410 1,,向原,,34.2757412,132.2555093,1410 1,,0,,,,
1410 2,,向原,,34.2754394,132.2553227,1410 2,,0,,,,
1420 1,,宮浜温泉,,34.2731001,132.2535404,1420 1,,0,,,,
1420 2,,宮浜温泉,,34.2725606,132.2532588,1420 2,,0,,,,
1430 1,,べにまんさくの湯,,34.2710318,132.254898,1430 1,,0,,,,
1440 1,,サンランド入口,,34.2703196,132.2490328,1440 1,,0,,,,
1440 2,,サンランド入口,,34.2703177,132.2490308,1440 2,,0,,,,
1450 1,,サンランド東,,34.2692625,132.2468354,1450 1,,0,,,,
1450 2,,サンランド東,,34.2692631,132.2468364,1450 2,,0,,,,
1460 1,,サンランド,,34.2681156,132.2446997,1460 1,,0,,,,
1460 2,,サンランド,,34.2681143,132.2447014,1460 2,,0,,,,
1470 1,,サンランド西,,34.2673056,132.2431705,1470 1,,0,,,,
1470 2,,サンランド西,,34.2673075,132.243173,1470 2,,0,,,,
1480 1,,鳴川,,34.2643522,132.2416531,1480 1,,0,,,,
1490 1,,玖波駅,,34.2545288,132.2278737,1490 1,,0,,,,
1500 1,,ふじタウン西,,34.3201406,132.3068507,1500 1,,0,,,,
1500 2,,ふじタウン西,,34.3199828,132.3069385,1500 2,,0,,,,
1510 1,,宮島口東二丁目,,34.3199942,132.3037732,1510 1,,0,,,,
1512 1,,宮島口東三丁目,,34.321313,132.3028148,1512 1,,0,,,,
1520 1,,宮島口東一丁目,,34.3188303,132.3043586,1520 1,,0,,,,
1530 2,,宮島口上,,34.3184725,132.3019254,1530 2,,0,,,,
1550 1,,土井上,,34.3053639,132.2812647,1550 1,,0,,,,
1560 1,,大野東小学校,,34.3083863,132.2835985,1560 1,,0,,,,
1570 1,,鯛の原,,34.3102228,132.285394,1570 1,,0,,,,
1580 2,,青葉台集会所前,,34.3220987,132.2988208,1580 2,,0,,,,
1590 1,,上の浜,,34.2909255,132.282316,1590 1,,0,,,,
1590 2,,上の浜,,34.2909252,132.2823154,1590 2,,0,,,,
1600 1,,梅原一丁目,,34.2838588,132.2741001,1600 1,,0,,,,
1600 2,,梅原一丁目,,34.2838668,132.2742827,1600 2,,0,,,,
1620 1,,沖塩屋,,34.2828078,132.266192,1620 1,,0,,,,
1620 2,,沖塩屋,,34.2815834,132.2652882,1620 2,,0,,,,
1630 1,,青海苔,,34.2801086,132.2635262,1630 1,,0,,,,
1630 2,,青海苔,,34.2785651,132.2625551,1630 2,,0,,,,
1640 1,,丸石,,34.276174,132.2613581,1640 1,,0,,,,
1640 2,,丸石,,34.2755262,132.261245,1640 2,,0,,,,
1650 1,,広電阿品駅,,34.3217769,132.3147756,1650 1,,0,,,,
1660 1,,ナタリーマリナタウン,,34.3216172,132.3163547,1660 1,,0,,,,
1670 1,,ふじタウン南,,34.3227505,132.3111161,1670 1,,0,,,,
1670 2,,ふじタウン南,,34.3227289,132.3109057,1670 2,,0,,,,
1672 1,,ふじタウン中,,34.323191846304441663384,132.3076558768783574195094,1672 1,,0,,,,
1672 2,,ふじタウン中,,34.322708556286293374599,132.3071726054675432433580,1672 2,,0,,,,
1674 1,,ふじタウン北,,34.323458452444405347453,132.3058226834080657048490,1674 1,,0,,,,
1674 2,,ふじタウン北,,34.323125154522935598417,132.3058060336191010052212,1674 2,,0,,,,
1680 1,,中山,,34.3201779,132.2879567,1680 1,,0,,,,1
1690 1,,西市民センター,,34.2737586,132.261783,1690 1,,0,,,,
1700 1,,大野浦駅南口,,34.2844601,132.2660465,1700 1,,0,,,,1
1700 2,,大野浦駅南口,,34.2844605,132.2660496,1700 2,,0,,,,2
1710 1,,ＪＲ阿品駅,,34.3231046,132.3144987,1710 1,,0,,,,
1800 1,,下の浜,,34.2899583,132.2791247,1800 1,,0,,,,
1800 2,,下の浜,,34.2899584,132.2791251,1800 2,,0,,,,
