stop_id,direction
1010 1,阿品駅・大野支所方面
1020 1,宮島口方面
1020 2,阿品駅・大野支所方面
1030 1,宮島口方面
1030 2,阿品駅・大野支所方面
1070 1,阿品駅方面、玖波駅方面
1090 1,阿品駅方面
1090 2,大野支所方面
1100 1,阿品駅方面
1100 2,大野支所方面
1110 1,阿品駅方面
1110 2,大野支所方面
1120 1,阿品駅方面
1120 2,大野支所方面
1130 1,宮島口方面
1130 2,阿品駅・大野支所方面
1140 1,宮島口方面
1140 2,阿品駅・大野支所方面
1150 1,阿品駅方面
1150 2,大野支所方面
1160 1,阿品駅方面
1160 2,大野支所方面
1170 1,阿品駅方面
1170 2,大野支所方面
1180 2,大野支所方面
1190 2,大野支所方面
1200 2,大野支所方面
1210 1,阿品駅方面
1210 2,大野支所方面
1220 1,阿品駅・大野支所方面
1220 2,阿品駅・大野支所方面
1230 1,阿品駅・大野支所方面
1240 1,阿品駅方面
1240 2,大野支所方面
1250 1,阿品駅方面
1250 2,大野支所方面
1260 1,阿品駅方面
1260 2,大野支所方面
1270 1,阿品駅方面
1270 2,大野支所方面
1280 1,阿品駅方面
1280 2,大野支所方面
1290 1,阿品駅・大野支所方面
1300 1,阿品駅方面
1300 2,大野支所方面
1310 1,阿品駅方面
1310 2,大野支所方面
1320 1,阿品駅方面
1320 2,大野支所方面
1330 1,阿品駅方面
1330 2,大野支所方面
1340 1,阿品駅方面、玖波駅方面
1340 2,阿品駅方面、玖波駅方面
1350 1,阿品駅方面
1350 2,玖波駅方面
1360 1,阿品駅方面
1360 2,玖波駅方面
1370 1,阿品駅方面
1370 2,玖波駅方面
1380 1,阿品駅方面
1380 2,玖波駅方面
1390 1,阿品駅方面
1390 2,玖波駅方面
1400 1,阿品駅方面
1400 2,玖波駅方面
1410 1,阿品駅方面
1410 2,玖波駅方面
1420 1,阿品駅方面
1420 2,玖波駅方面
1430 1,阿品駅方面、玖波駅方面
1440 1,阿品駅方面
1440 2,玖波駅方面
1450 1,阿品駅方面
1450 2,玖波駅方面
1460 1,阿品駅方面
1460 2,玖波駅方面
1470 1,阿品駅方面
1470 2,玖波駅方面
1480 1,阿品駅方面、玖波駅方面
1490 1,阿品駅方面
1500 1,阿品駅方面
1500 2,大野支所方面
1510 1,大野支所方面
1512 1,大野支所方面
1520 1,阿品駅方面
1530 2,阿品駅方面
1550 1,阿品駅方面
1560 1,阿品駅方面
1570 1,阿品駅方面
1580 2,阿品駅・大野支所方面
1590 1,阿品駅方面
1590 2,大野支所方面
1600 1,阿品駅方面
1600 2,玖波駅方面
1620 1,阿品駅方面
1620 2,玖波駅方面
1630 1,阿品駅方面
1630 2,玖波駅方面
1640 1,阿品駅方面
1640 2,玖波駅方面
1650 1,阿品台方面
1660 1,阿品台方面
1670 1,JR・広電阿品駅方面
1670 2,阿品台方面
1672 1,JR・広電阿品駅方面
1672 2,阿品台方面
1674 1,JR・広電阿品駅方面
1674 2,阿品台方面
1680 1,阿品駅・大野支所方面
1690 1,阿品駅・大野支所方面
1700 1,阿品駅方面、玖波駅方面
1700 2,阿品駅方面、玖波駅方面
1710 1,阿品台・広電阿品駅方面
1800 1,阿品駅方面
1800 2,大野支所方面
1810 1,阿品駅方面
1810 2,大野支所方面
1820 2,阿品駅・大野支所方面
1840 1,阿品駅・大野支所方面
1840 2,阿品駅・大野支所方面
1850 1,阿品駅方面、玖波駅方面
1850 2,阿品駅方面、玖波駅方面
1860 1,阿品駅方面
1860 2,大野支所方面
