station_sid,same_pole_id,jorudan_code,pickup_and_dropoff_flg,stop_no,direction,stop_group_name
c244e553-8df4-4f0f-b8bd-e02d0cacfa5d,8101001@HiroshimaArea,,3,,阿品駅・大野支所方面,宮島口@HiroshimaArea
8de3948c-a917-4854-954e-b1f71e3c16b0,8102001@HiroshimaArea,,3,,宮島口方面,更地分れ@HiroshimaArea
0ac4b32e-9137-420f-804d-a3d82a7534fc,8102002@HiroshimaArea,,3,,阿品駅・大野支所方面,更地分れ@HiroshimaArea
64054e8b-d97b-4c3e-b708-dd39fec8969f,8103001@HiroshimaArea,,3,,宮島口方面,宮島口西@HiroshimaArea
32f36866-d41e-41f4-8691-f0a97f43d20e,8103002@HiroshimaArea,,3,,阿品駅・大野支所方面,宮島口西@HiroshimaArea
4a3a44f9-7ce2-4ba9-aa52-d6366b41af0b,8107001@HiroshimaArea,,3,,阿品駅方面、玖波駅方面,大野支所前@HiroshimaArea
f660fad6-c32c-4049-bb61-cba7dd0b1912,8109001@HiroshimaArea,,3,,阿品駅方面,県営住宅前@HiroshimaArea
7008802d-ef48-4f26-a621-4a6076130179,8109002@HiroshimaArea,,3,,大野支所方面,県営住宅前@HiroshimaArea
a66c4ad7-59fe-4f44-9261-82007e742dc0,8110001@HiroshimaArea,,3,,阿品駅方面,青葉台@HiroshimaArea
20c8e77b-7d9b-494b-b1fc-ef797d6d2428,8110002@HiroshimaArea,,3,,大野支所方面,青葉台@HiroshimaArea
ca97b6ed-f478-4c14-be90-bd9625aeac1a,8111001@HiroshimaArea,,3,,阿品駅方面,福面@HiroshimaArea
b5cea573-8157-4334-8a8e-9cc275b83bcc,8111002@HiroshimaArea,,3,,大野支所方面,福面@HiroshimaArea
2c778cdf-63fb-4baa-8fba-0cea51cb7d57,8112001@HiroshimaArea,,3,,阿品駅方面,グリーンハイツ@HiroshimaArea
f1906b49-7e5e-4267-99e1-099394028737,8112002@HiroshimaArea,,3,,大野支所方面,グリーンハイツ@HiroshimaArea
589579f2-5cc3-4971-9870-868f760a9f27,8113001@HiroshimaArea,,3,,宮島口方面,深江@HiroshimaArea
4c0f7900-e036-4b88-80ba-895334790962,8113002@HiroshimaArea,,3,,阿品駅・大野支所方面,深江@HiroshimaArea
f23e8d4f-1c46-473a-9cb6-6c2fcb624fb7,8114001@HiroshimaArea,,3,,宮島口方面,深江保育園@HiroshimaArea
0a01e1c9-3e5b-450a-be31-3c90df1be59f,8114002@HiroshimaArea,,3,,阿品駅・大野支所方面,深江保育園@HiroshimaArea
698096a6-da78-41ee-9035-704ed136de7d,8115001@HiroshimaArea,,3,,阿品駅方面,更地@HiroshimaArea
fd6a3123-b9d1-4aa1-a023-80ee78a390e5,8115002@HiroshimaArea,,3,,大野支所方面,更地@HiroshimaArea
25d86ce1-02e2-4995-99d4-e9a5b229067b,8116001@HiroshimaArea,,3,,阿品駅方面,下更地@HiroshimaArea
b05de35c-69f2-42f4-a7ec-f96dc3aab0f9,8116002@HiroshimaArea,,3,,大野支所方面,下更地@HiroshimaArea
38972009-f4fc-4b36-90d0-f2a4ec80f9f4,8117001@HiroshimaArea,,3,,阿品駅方面,前空台入口@HiroshimaArea
028446e0-419c-47f1-8026-daa60b5b1095,8117002@HiroshimaArea,,3,,大野支所方面,前空台入口@HiroshimaArea
85a22e59-a052-46a0-a83f-a767e29a9566,8118002@HiroshimaArea,,3,,大野支所方面,別府@HiroshimaArea
32e0c124-23ff-4f4b-a974-bfb0ab43cd8b,8119002@HiroshimaArea,,3,,大野支所方面,土井@HiroshimaArea
5322e721-984c-4d84-babc-aed82b85f89a,8120002@HiroshimaArea,,3,,大野支所方面,棚田@HiroshimaArea
07458aba-5fb3-4283-9673-b4c38d5c3707,8121001@HiroshimaArea,,3,,阿品駅方面,宮島工業高校@HiroshimaArea
56db2356-53b8-4b07-946b-ebd1da4359d5,8121002@HiroshimaArea,,3,,大野支所方面,宮島工業高校@HiroshimaArea
f161df25-cbe8-4f3d-85d5-87ad2dda2f9a,8122001@HiroshimaArea,,3,,阿品駅・大野支所方面,池田保育園@HiroshimaArea
7fe07436-1f6d-459f-9546-bb741b976178,8122002@HiroshimaArea,,3,,阿品駅・大野支所方面,池田保育園@HiroshimaArea
91f0dea8-a676-4b42-bfa9-037a723a6474,8123001@HiroshimaArea,,3,,阿品駅・大野支所方面,まるくる大野@HiroshimaArea
0a4a2db3-d2c4-4eb6-b8d0-bb9227b28a0a,8124001@HiroshimaArea,,3,,阿品駅方面,高畑@HiroshimaArea
2e12c48d-63ac-426e-be54-1175ea90d912,8124002@HiroshimaArea,,3,,大野支所方面,高畑@HiroshimaArea
4a30d767-812c-4acc-a766-0a58e88331cd,8125001@HiroshimaArea,,3,,阿品駅方面,筏津@HiroshimaArea
f4504f2a-ee5e-4104-a91a-33efc7d2f9a8,8125002@HiroshimaArea,,3,,大野支所方面,筏津@HiroshimaArea
4461f8ce-34fb-4ba1-832d-cf0be7fca7db,8126001@HiroshimaArea,,3,,阿品駅方面,西教寺@HiroshimaArea
224ee3cc-e2bd-495d-b12e-466573a35d43,8126002@HiroshimaArea,,3,,大野支所方面,西教寺@HiroshimaArea
fcf12630-e4bf-4fa2-9713-ee8eb74a5380,8127001@HiroshimaArea,,3,,阿品駅方面,妹背の滝@HiroshimaArea
82dc42f0-d964-4922-a45f-d9a270070a55,8127002@HiroshimaArea,,3,,大野支所方面,妹背の滝@HiroshimaArea
e6358c16-69e1-479e-ae17-19a68255fe13,8128001@HiroshimaArea,,3,,阿品駅方面,前空六丁目@HiroshimaArea
8865e067-47ae-4fdc-841d-274d402502a2,8128002@HiroshimaArea,,3,,大野支所方面,前空六丁目@HiroshimaArea
a24a8e01-9868-4dff-9bae-45d377bfbb99,8129001@HiroshimaArea,,3,,阿品駅・大野支所方面,前空駅@HiroshimaArea
26f097cc-a9ea-4894-a48c-bbadeafb5b9f,8130001@HiroshimaArea,,3,,阿品駅方面,前空一丁目@HiroshimaArea
ca68693d-1ed2-4310-9eda-13acd98663eb,8130002@HiroshimaArea,,3,,大野支所方面,前空一丁目@HiroshimaArea
c50d4562-10c8-46fc-bc24-b3ce324daad9,8131001@HiroshimaArea,,3,,阿品駅方面,物見東@HiroshimaArea
9d54ff7e-c661-424b-a13d-89467028feb7,8131002@HiroshimaArea,,3,,大野支所方面,物見東@HiroshimaArea
fa62d07f-4794-436a-833b-97301826e127,8132001@HiroshimaArea,,3,,阿品駅方面,物見西@HiroshimaArea
ea42b00f-a671-4547-b3e3-388c73d879d1,8132002@HiroshimaArea,,3,,大野支所方面,物見西@HiroshimaArea
c7993ce0-8b87-4c25-ae8c-925cc8b24ee8,8133001@HiroshimaArea,,3,,阿品駅方面,橋本@HiroshimaArea
a7f2bfa1-d6c3-4020-9558-6b6a53b353c0,8133002@HiroshimaArea,,3,,大野支所方面,橋本@HiroshimaArea
940e2345-2196-4d6e-b214-ecb8c5b3563e,8134001@HiroshimaArea,,3,,阿品駅方面、玖波駅方面,滝の下@HiroshimaArea
73eef3ec-7006-49f9-94f3-cbe759d2df62,8134002@HiroshimaArea,,3,,阿品駅方面、玖波駅方面,滝の下@HiroshimaArea
08f2cf3e-4309-4fef-a89a-baa69f887eb0,8135001@HiroshimaArea,,3,,阿品駅方面,大野中学校@HiroshimaArea
60fee12d-4c41-4b89-9534-3bf49664c72f,8135002@HiroshimaArea,,3,,玖波駅方面,大野中学校@HiroshimaArea
84e219c9-de80-455c-9b40-b15a834c92ae,8136001@HiroshimaArea,,3,,阿品駅方面,大野西小学校@HiroshimaArea
2a08bdb4-078a-41fa-9822-9cb9f16dd273,8136002@HiroshimaArea,,3,,玖波駅方面,大野西小学校@HiroshimaArea
