trans_id,lang,translation
ささき観光,ja,ささき観光
ささき観光,ja-Hrkt,ササキカンコウ
ささき観光,en,Sasaki Kanko
宮島口,ja,宮島口
宮島口,ja-Hrkt,みやじまぐち
宮島口,en,Miyajima-guchi
宮島口,ko,미야지마 구치
宮島口,zh-cn,宫岛口
宮島口,zh-tw,宮島口
更地分れ,ja,更地分れ
更地分れ,ja-Hrkt,さらじわかれ
更地分れ,en,Saraji-wakare
更地分れ,ko,사라지 와카레
更地分れ,zh-cn,更地分
更地分れ,zh-tw,更地分
宮島口西,ja,宮島口西
宮島口西,ja-Hrkt,みやじまぐちにし
宮島口西,en,Miyajima-guchi-nishi
宮島口西,ko,미야지마 구치 니시
宮島口西,zh-cn,宫岛口西
宮島口西,zh-tw,宮島口西
大野支所前,ja,大野支所前
大野支所前,ja-Hrkt,おおのししょまえ
大野支所前,en,Ono Shisho-Mae (Ono Branch)
大野支所前,ko,오노 지소
大野支所前,zh-cn,大野支所前
大野支所前,zh-tw,大野支所前
県営住宅前,ja,県営住宅前
県営住宅前,ja-Hrkt,けんえいじゅうたくまえ
県営住宅前,en,Kenei Jutaku-mae
県営住宅前,ko,겐에이 주타구 마에
県営住宅前,zh-cn,县营住宅前
県営住宅前,zh-tw,縣營住宅前
青葉台,ja,青葉台
青葉台,ja-Hrkt,あおばだい
青葉台,en,Aobadai
青葉台,ko,아오바다이
青葉台,zh-cn,青叶台
青葉台,zh-tw,青葉臺
福面,ja,福面
福面,ja-Hrkt,ふくめん
福面,en,Fukumen
福面,ko,후쿠멘
福面,zh-cn,福面
福面,zh-tw,福面
グリーンハイツ,ja,グリーンハイツ
グリーンハイツ,ja-Hrkt,ぐりーんはいつ
グリーンハイツ,en,Green Heights
グリーンハイツ,ko,그린 하이츠
グリーンハイツ,zh-cn,Green Heights
グリーンハイツ,zh-tw,Green Heights
深江,ja,深江
深江,ja-Hrkt,ふかえ
深江,en,Fukae
深江,ko,후카에
深江,zh-cn,深江
深江,zh-tw,深江
深江保育園,ja,深江保育園
深江保育園,ja-Hrkt,ふかえほいくえん
深江保育園,en,Fukae Hoikuen (Fukae Nursery)
深江保育園,ko,후카에 보육원
深江保育園,zh-cn,深江保育园
深江保育園,zh-tw,深江保育園
更地,ja,更地
更地,ja-Hrkt,さらじ
更地,en,Saraji
更地,ko,사라지
更地,zh-cn,更地
更地,zh-tw,更地
下更地,ja,下更地
下更地,ja-Hrkt,しもさらじ
下更地,en,Shimo-saraji
下更地,ko,시모사라지
下更地,zh-cn,下更地
下更地,zh-tw,下更地
前空台入口,ja,前空台入口
前空台入口,ja-Hrkt,まえぞらだいいりぐち
前空台入口,en,Maezoradai-iriguchi
前空台入口,ko,마에조라다이 이리구치
前空台入口,zh-cn,前空台入口
前空台入口,zh-tw,前空臺入口
別府,ja,別府
別府,ja-Hrkt,べふ
別府,en,Befu
別府,ko,베후
別府,zh-cn,别府
別府,zh-tw,別府
土井,ja,土井
土井,ja-Hrkt,どい
土井,en,Doi
土井,ko,도이
土井,zh-cn,土井
土井,zh-tw,土井
棚田,ja,棚田
棚田,ja-Hrkt,たなだ
棚田,en,Tanada
棚田,ko,다나다
棚田,zh-cn,棚田
棚田,zh-tw,棚田
宮島工業高校,ja,宮島工業高校
宮島工業高校,ja-Hrkt,みやじまこうぎょうこうこう
宮島工業高校,en,Miyajima Kogyo Koko (Miyajima Technial High School)
宮島工業高校,ko,미야지마 공업고등학교
宮島工業高校,zh-cn,宫岛工业高中
宮島工業高校,zh-tw,宮島工業高中
池田保育園,ja,池田保育園
池田保育園,ja-Hrkt,いけだほいくえん
池田保育園,en,Ikeda Hoikuen (Ikeda Nursery)
池田保育園,ko,이케다 보육원
池田保育園,zh-cn,池田保育园
池田保育園,zh-tw,池田保育園
まるくる大野,ja,まるくる大野
まるくる大野,ja-Hrkt,まるくるおおの
高畑,ja,高畑
高畑,ja-Hrkt,たかばたけ
高畑,en,Takabatake
高畑,ko,다카바타케
高畑,zh-cn,高畑
高畑,zh-tw,高畑
筏津,ja,筏津
筏津,ja-Hrkt,いかなづ
筏津,en,Ikanazu
筏津,ko,이카나즈
筏津,zh-cn,筏津
筏津,zh-tw,筏津
西教寺,ja,西教寺
西教寺,ja-Hrkt,さいきょうじ
西教寺,en,Saikyoji (Saikyoji Temple)
西教寺,ko,사이쿄지 절
西教寺,zh-cn,西教寺
西教寺,zh-tw,西教寺
妹背の滝,ja,妹背の滝
妹背の滝,ja-Hrkt,いもせのたき
妹背の滝,en,Imose-no-Taki (Imose Waterfall)
妹背の滝,ko,이모세노타키
妹背の滝,zh-cn,妹背之泷
妹背の滝,zh-tw,妹背之瀧
前空六丁目,ja,前空六丁目
前空六丁目,ja-Hrkt,まえぞらろくちょうめ
前空六丁目,en,Maezora-rokuchome (Maezora 6)
前空六丁目,ko,마에조라 6초메
前空六丁目,zh-cn,前空六丁目
前空六丁目,zh-tw,前空六丁目
前空駅,ja,前空駅
前空駅,ja-Hrkt,まえぞらえき
前空駅,en,Maezora Sta.
前空駅,ko,마에조라 역
前空駅,zh-cn,前空站
前空駅,zh-tw,前空站
前空一丁目,ja,前空一丁目
前空一丁目,ja-Hrkt,まえぞらいっちょうめ
前空一丁目,en,Maezora-itchome (Maezora 1)
前空一丁目,ko,마에조라 1초메
前空一丁目,zh-cn,前空一丁目
前空一丁目,zh-tw,前空一丁目
物見東,ja,物見東
物見東,ja-Hrkt,ものみひがし
物見東,en,Monomi-higashi
物見東,ko,모노미 히가시
物見東,zh-cn,物见东
物見東,zh-tw,物見東
物見西,ja,物見西
物見西,ja-Hrkt,ものみにし
物見西,en,Monomi-nishi
物見西,ko,모노미 니시
物見西,zh-cn,物见西
物見西,zh-tw,物見西
橋本,ja,橋本
橋本,ja-Hrkt,はしもと
橋本,en,Hashimoto
橋本,ko,하시모토
橋本,zh-cn,桥本
橋本,zh-tw,橋本
滝の下,ja,滝の下
滝の下,ja-Hrkt,たきのした
