daiya_sid,bin_no,course_sid
8dc31fed-bfa8-49c4-bd19-2785e019a212,1,ef986434-8d1a-4e30-8650-03b53510143d
b655c41c-cb07-4308-ae55-bed4d7fe842f,1,ef986434-8d1a-4e30-8650-03b53510143d
d9f10ea4-2350-47b3-b7d4-f32fdae82235,1,108a5733-b3f8-4a0a-97f2-05f75f57dc0c
b1fc4bd0-57f1-4ede-910b-ac354ccabbea,1,108a5733-b3f8-4a0a-97f2-05f75f57dc0c
210d97bc-1ac3-463b-8748-7a53c6360f51,1,108a5733-b3f8-4a0a-97f2-05f75f57dc0c
c7e30d01-6d10-499e-9882-b7546a89bd17,1,76f5b436-c017-42d2-897e-087bfa02f7aa
a47b32f0-4d29-4544-bc1d-9f3baac278e3,2,76f5b436-c017-42d2-897e-087bfa02f7aa
4220ae73-7d9a-4844-bfc8-a17c1211873b,2,76f5b436-c017-42d2-897e-087bfa02f7aa
6fa5e0a0-86c2-4a73-a4f4-d92085d15d86,1,76f5b436-c017-42d2-897e-087bfa02f7aa
7397ec18-afba-436e-8ff5-fb715dfec7f8,1,76f5b436-c017-42d2-897e-087bfa02f7aa
91249d54-2d83-44dd-946e-cc591904a374,2,5d54983c-b727-45f7-a6da-0ea81ee7e053
ae0de5ce-7544-4386-832f-501f11a544e9,1,5d54983c-b727-45f7-a6da-0ea81ee7e053
56f2a729-4865-4fea-a873-406b9ec95a59,1,d2c4589e-d19c-4b1b-8fcf-0f20d751f3d2
800f330b-2a25-402d-a073-181ecf81d314,1,d2c4589e-d19c-4b1b-8fcf-0f20d751f3d2
4c08895b-d7d6-4bd4-9091-daa47b2af663,1,d2c4589e-d19c-4b1b-8fcf-0f20d751f3d2
57fd2de8-e970-434f-a322-edb84fc2c075,2,d2c4589e-d19c-4b1b-8fcf-0f20d751f3d2
9dc5e2ed-26b6-4e27-9909-c8d212659431,1,19adf810-729d-4e82-b8d0-0f4fb2d599a8
a504fd08-73ca-412e-9689-c19eaf0f5b71,1,19adf810-729d-4e82-b8d0-0f4fb2d599a8
81b53ba0-67f0-4aad-84d6-5c00f8769935,1,19adf810-729d-4e82-b8d0-0f4fb2d599a8
aed7d334-5aac-4a7d-b507-3b88a776c93a,1,0781545c-0068-4c79-b371-29fded9caa18
d59e1240-ddcd-400d-81ee-a72529fd0bc8,3,0781545c-0068-4c79-b371-29fded9caa18
43e5c2b3-8e64-4736-8e11-fe62544ee3cc,2,0781545c-0068-4c79-b371-29fded9caa18
a9b47186-9894-4052-b15b-5db35407dfe1,1,ad47cb6c-9be1-42cf-ad27-2a80e51cf2fd
7fd259d6-e856-464e-9890-6720923250bd,1,ad47cb6c-9be1-42cf-ad27-2a80e51cf2fd
2f63f99f-abb7-45c5-83a6-8c187f274bf1,1,1e42efb5-87d6-4760-89b8-2c1874524598
fa555302-abe2-4746-add2-9badd7f0e80d,2,b9efa075-a202-4ff5-bcd7-338edd1cc8b3
5bd85fa1-9a0a-44e3-876a-b9b0f2f2e78e,3,b9efa075-a202-4ff5-bcd7-338edd1cc8b3
ee6c6b10-04fc-4657-bdb4-de30fadeaba9,1,b9efa075-a202-4ff5-bcd7-338edd1cc8b3
0c7ff4c3-7ba1-453b-8972-d7272368a888,1,b9efa075-a202-4ff5-bcd7-338edd1cc8b3
ace21aea-094e-4d24-8e16-d7d2caeda9cb,2,b9efa075-a202-4ff5-bcd7-338edd1cc8b3
e6caec01-fadc-4df5-8e3a-36658da81d61,2,b9efa075-a202-4ff5-bcd7-338edd1cc8b3
f1f46d46-9dcf-4007-be56-37d1dfb81901,1,b9efa075-a202-4ff5-bcd7-338edd1cc8b3
c24ae98d-9315-4a46-bd6b-58b25049eceb,2,bd210922-a736-48f7-9bc5-35832cece136
3f9d1e11-96fc-47c9-a435-edf7e1064a11,3,bd210922-a736-48f7-9bc5-35832cece136
d3ac6375-0d37-4977-900d-f1da93143a09,1,bd210922-a736-48f7-9bc5-35832cece136
1c6dd031-3ffa-4746-a6ff-defeff8cc46b,1,bd210922-a736-48f7-9bc5-35832cece136
ce8e2a30-fe7a-43c0-b9ca-f522b792a44c,2,bd210922-a736-48f7-9bc5-35832cece136
0d23a22c-228b-49fb-8aa5-f75b8d103645,3,bd210922-a736-48f7-9bc5-35832cece136
b8821574-dd35-4159-baba-c4f13dcfefe8,4,bd210922-a736-48f7-9bc5-35832cece136
8ea324f5-b1df-49f0-9f84-c7664601df2e,4,bd210922-a736-48f7-9bc5-35832cece136
7c01396b-c1bd-4bcd-9b7b-b4d03ad1182d,3,bd210922-a736-48f7-9bc5-35832cece136
c41752ea-1149-4495-abb2-a6db17ea06c6,1,bd210922-a736-48f7-9bc5-35832cece136
e2205aa6-1837-4ffb-9435-af4619008579,4,bd210922-a736-48f7-9bc5-35832cece136
a247003b-7b1f-407c-ae26-fceda2dc684a,2,bd210922-a736-48f7-9bc5-35832cece136
990e81ad-499a-4fb7-afa6-b0a68247e901,1,02ac30e7-cebd-4067-8044-40c2635bc853
b80f03c2-684b-4413-a1f3-9cbc27fc0b67,2,02ac30e7-cebd-4067-8044-40c2635bc853
94ba0447-f1a9-4335-9dad-96d7e00a7900,3,02ac30e7-cebd-4067-8044-40c2635bc853
722767a7-0587-4f38-8608-97492621fa92,4,02ac30e7-cebd-4067-8044-40c2635bc853
ca9a38e9-cd0b-443c-8390-def010632623,1,02ac30e7-cebd-4067-8044-40c2635bc853
545b96c5-ac19-4b6e-8ae3-502099e74036,2,02ac30e7-cebd-4067-8044-40c2635bc853
696754ae-dbd3-481b-9aad-48c876563510,1,02ac30e7-cebd-4067-8044-40c2635bc853
58d9e978-5ccf-47ad-aba0-0437512be417,3,02ac30e7-cebd-4067-8044-40c2635bc853
075efa4e-0ca2-4aa8-a286-79f467d5dbfb,3,02ac30e7-cebd-4067-8044-40c2635bc853
95f9a3d8-1f8b-4edf-b781-8890e94dd946,2,02ac30e7-cebd-4067-8044-40c2635bc853
a729a79e-7b2c-4502-bb4e-bd2b576dce32,1,e467d908-ab6c-4b42-a3c2-42294180ae53
11a6c97d-c79f-4b3f-b745-faf39a9d59d5,1,e467d908-ab6c-4b42-a3c2-42294180ae53
686a4a12-59b5-450d-b09e-b5851dd0cc6f,1,af579f35-3461-45b8-9fc8-4fb29348b724
50c42c8c-6228-46ea-ae7f-654eccff2fcd,1,af579f35-3461-45b8-9fc8-4fb29348b724
d250ced7-e8da-4931-b253-65c5560109a7,1,af579f35-3461-45b8-9fc8-4fb29348b724
9732a0a8-529f-4f2c-aa87-6574f52e63c1,1,1e45da0a-4827-42e1-afd4-51c096a7d526
30b54cfd-e4a1-4324-b6a5-60a2f1766f22,1,1e45da0a-4827-42e1-afd4-51c096a7d526
76f74fec-6999-4c05-b3fb-9b4ee852f3c0,2,1e45da0a-4827-42e1-afd4-51c096a7d526
66374e3c-1722-43e6-8770-cb49c94c1ef0,1,1e45da0a-4827-42e1-afd4-51c096a7d526
e2ec235f-ab16-46e9-8938-bf304da75cfc,1,47ec224b-a33a-424b-ba91-54c2be7eb8cd
9a560cf2-f14d-46a4-bf0e-9f67dd0faf16,1,cf62737c-4532-410b-83b9-63abd37a7c70
9d024e85-e424-4df6-bb5d-7669c3d1ab2c,1,449b0095-fdb7-4b83-87b5-664494cd4760
4f29fbe8-b8d5-484b-97ab-f92d230c1300,1,449b0095-fdb7-4b83-87b5-664494cd4760
2d74d0fa-77bf-4a5d-be25-353a714eb3bd,1,40552cb1-be47-49fe-bb03-6669a3e371e8
01cce250-f334-41f0-8889-f492b4b5174b,1,40552cb1-be47-49fe-bb03-6669a3e371e8
64b30c34-59d8-4338-bca2-0dd985cf099c,1,99d95ede-52bb-4910-b3bb-7103b7dd387e
36e4833f-7968-4ae3-a5f2-591e8e2ea735,1,99d95ede-52bb-4910-b3bb-7103b7dd387e
dbf50154-7222-4b29-a453-38202e2b9317,2,5c089de8-f9a5-4897-84e2-7a09aba44ae0
2d35bf21-98cb-49af-a13d-5bf9de432f8f,3,5c089de8-f9a5-4897-84e2-7a09aba44ae0
a793f50d-a676-48b6-89bc-684caea38024,1,5c089de8-f9a5-4897-84e2-7a09aba44ae0
eeb373cd-10cb-4281-aa95-6b4591a0a377,2,5c089de8-f9a5-4897-84e2-7a09aba44ae0
1b73a09e-e074-4f8f-a06c-2d21a5a5c862,1,5c089de8-f9a5-4897-84e2-7a09aba44ae0
17b33f25-c8f8-4f53-bbea-58c715ee754d,1,5c089de8-f9a5-4897-84e2-7a09aba44ae0
83ef984a-8a92-4aaf-a5f0-91165acc26e9,3,5c089de8-f9a5-4897-84e2-7a09aba44ae0
5ab014b2-ef56-4e73-aa51-8e57374f5deb,1,dbfe5382-370a-4876-b87c-7a0cc00d86c6
c56567b5-c08d-4bc7-afd4-a6f9d68a6f0e,2,dbfe5382-370a-4876-b87c-7a0cc00d86c6
5cf45f7a-e491-4da3-87d6-52d6d6ec692d,1,dbfe5382-370a-4876-b87c-7a0cc00d86c6
df6aa56b-75d4-4d8b-8c26-364a15b8f7f4,1,dbfe5382-370a-4876-b87c-7a0cc00d86c6
4ba7096b-fdbf-48b3-bee3-20f1c50f68c5,3,dbfe5382-370a-4876-b87c-7a0cc00d86c6
88f55603-ce37-43c2-88fb-32508a788dfb,1,7679998d-0bd3-4f03-a527-7c41d5e1dacc
90f79e90-66d4-4d56-b900-6b007e5d01d9,2,7679998d-0bd3-4f03-a527-7c41d5e1dacc
6d8be179-15ac-442a-b557-790bbe1f18ca,2,7679998d-0bd3-4f03-a527-7c41d5e1dacc
ab26b381-57a1-41f1-a0ca-af86127c94e9,1,7679998d-0bd3-4f03-a527-7c41d5e1dacc
0b54dbd2-1e62-48b7-9a74-9e47258901ca,2,7679998d-0bd3-4f03-a527-7c41d5e1dacc
16899bb2-4286-455c-a96a-b9e32b569db5,1,7679998d-0bd3-4f03-a527-7c41d5e1dacc
6064fcd5-4968-453f-877e-586958db4fc8,1,5973383c-62d1-47ff-a83b-832999cee784
50aca1c2-be65-4454-9fca-0f6b1610ac88,1,0bc13f5b-f40e-4879-86de-858897169954
c65dea05-749b-4997-9ccf-dfac0a10eb97,1,0e59ea91-6f57-40ff-909c-861cf5992cdc
126a6007-f150-487a-a205-cc3fc098ca3d,2,f2b3349f-9557-4fe8-8552-8d09b6b02b53
334261c1-ce04-4d69-ac8d-7293b5e059a2,1,f2b3349f-9557-4fe8-8552-8d09b6b02b53
9f8b3e7f-eaf0-4efd-843c-461599e6076d,1,70c2890e-c0d5-4ab3-998b-8fb35e1058d7
35d56229-08c5-49e4-b6a4-c8c377f73eac,1,70c2890e-c0d5-4ab3-998b-8fb35e1058d7
46929e6e-63e3-401a-8066-9dcc00d261cf,1,70c2890e-c0d5-4ab3-998b-8fb35e1058d7
ce184837-5c4e-4563-9cad-8ddc5240a912,1,aa7e7bb9-ad67-4531-8751-9afbcbdb6569
0848836c-f8b3-41e4-b537-78bc881eefa8,1,aa7e7bb9-ad67-4531-8751-9afbcbdb6569
5fd8b253-101a-4e23-8eb6-ed46ef963fc8,1,aa7e7bb9-ad67-4531-8751-9afbcbdb6569
d968cca4-a609-4eb8-a44c-588e9405d2b5,1,30be7f5b-0b8a-42c4-8616-a13b9c263605
77ac1e24-3728-45e9-bafd-035a9d9066cc,1,30be7f5b-0b8a-42c4-8616-a13b9c263605
1786b82f-d8a6-40de-8809-6fdd4e50ccdb,1,aea0cc57-f707-4846-b9cb-a5c1c2858213
7c0a7866-573a-4609-b50b-a7a79d52dfc6,1,1d039ca2-28f5-4865-8781-a7a5861aa7dd
1b9d4282-fdcb-4cfb-a7d6-cb1a88ac8b81,2,1d039ca2-28f5-4865-8781-a7a5861aa7dd
23a1e95e-0c8d-4b4b-bf4b-e36b6b1a5b19,2,44a39bab-b10e-4b5c-9daf-abb484d6bc3e
