"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"1_581_20241027","1","1","1","1","1","0","0","20241027","20241228"
"1_583_20241027","0","0","0","0","0","1","0","20241027","20241228"
"1_585_20241027","0","0","0","0","0","0","1","20241027","20241228"
"1_599_20241229","1","1","1","1","1","1","1","20241229","20241230"
"1_602_20241231","1","1","1","1","1","0","0","20241231","20250331"
"1_604_20241231","0","0","0","0","0","1","0","20241231","20250331"
"1_606_20241231","0","0","0","0","0","0","1","20241231","20250331"
"1_617_20250401","1","1","1","1","1","0","0","20250401","20250620"
"1_618_20250401","0","0","0","0","0","1","0","20250401","20250620"
"1_619_20250401","0","0","0","0","0","0","1","20250401","20250620"
"1_636_20250621","1","1","1","1","1","0","0","20250621","20250930"
"1_637_20250621","0","0","0","0","0","1","0","20250621","20250930"
"1_638_20250621","0","0","0","0","0","0","1","20250621","20250930"
"1_655_20251001","1","1","1","1","1","0","0","20251001","20251228"
"1_656_20251001","0","0","0","0","0","1","0","20251001","20251228"
"1_657_20251001","0","0","0","0","0","0","1","20251001","20251228"
"1_655_20251229","1","1","1","1","1","0","0","20251229","20251230"
"1_656_20251229","0","0","0","0","0","1","0","20251229","20251230"
"1_657_20251229","0","0","0","0","0","0","1","20251229","20251230"
"1_655_20251231","1","1","1","1","1","0","0","20251231","20260331"
"1_656_20251231","0","0","0","0","0","1","0","20251231","20260331"
"1_657_20251231","0","0","0","0","0","0","1","20251231","20260331"
"1_692_20260401","1","1","1","1","1","0","0","20260401","20260710"
"1_694_20260401","0","0","0","0","0","1","0","20260401","20260710"
"1_695_20260401","0","0","0","0","0","0","1","20260401","20260710"
"3_586_20241027","1","1","1","1","1","0","0","20241027","20241228"
"3_588_20241027","0","0","0","0","0","1","0","20241027","20241228"
"3_590_20241027","0","0","0","0","0","0","1","20241027","20241228"
"3_601_20241229","1","1","1","1","1","1","1","20241229","20241230"
"3_607_20241231","1","1","1","1","1","0","0","20241231","20250331"
"3_609_20241231","0","0","0","0","0","1","0","20241231","20250331"
"3_611_20241231","0","0","0","0","0","0","1","20241231","20250331"
"3_623_20250401","1","1","1","1","1","0","0","20250401","20250620"
"3_626_20250401","0","0","0","0","0","1","0","20250401","20250620"
"3_628_20250401","0","0","0","0","0","0","1","20250401","20250620"
"3_642_20250621","1","1","1","1","1","0","0","20250621","20250930"
"3_645_20250621","0","0","0","0","0","1","0","20250621","20250930"
"3_647_20250621","0","0","0","0","0","0","1","20250621","20250930"
"3_661_20251001","1","1","1","1","1","0","0","20251001","20251228"
"3_664_20251001","0","0","0","0","0","1","0","20251001","20251228"
"3_666_20251001","0","0","0","0","0","0","1","20251001","20251228"
"3_661_20251229","1","1","1","1","1","0","0","20251229","20251230"
"3_664_20251229","0","0","0","0","0","1","0","20251229","20251230"
"3_666_20251229","0","0","0","0","0","0","1","20251229","20251230"
"3_661_20251231","1","1","1","1","1","0","0","20251231","20260331"
"3_664_20251231","0","0","0","0","0","1","0","20251231","20260331"
"3_666_20251231","0","0","0","0","0","0","1","20251231","20260331"
"3_697_20260401","1","1","1","1","1","0","0","20260401","20260710"
"3_699_20260401","0","0","0","0","0","1","0","20260401","20260710"
"3_701_20260401","0","0","0","0","0","0","1","20260401","20260710"
"5_591_20241027","1","1","1","1","1","0","0","20241027","20241228"
"5_593_20241027","0","0","0","0","0","1","0","20241027","20241228"
"5_595_20241027","0","0","0","0","0","0","1","20241027","20241228"
"5_600_20241229","1","1","1","1","1","1","1","20241229","20241230"
"5_612_20241231","1","1","1","1","1","0","0","20241231","20250331"
"5_614_20241231","0","0","0","0","0","1","0","20241231","20250331"
"5_616_20241231","0","0","0","0","0","0","1","20241231","20250331"
"5_630_20250401","1","1","1","1","1","0","0","20250401","20250620"
"5_632_20250401","0","0","0","0","0","1","0","20250401","20250620"
"5_634_20250401","0","0","0","0","0","0","1","20250401","20250620"
"5_649_20250621","1","1","1","1","1","0","0","20250621","20250930"
"5_651_20250621","0","0","0","0","0","1","0","20250621","20250930"
"5_653_20250621","0","0","0","0","0","0","1","20250621","20250930"
"5_668_20251001","1","1","1","1","1","0","0","20251001","20251228"
"5_670_20251001","0","0","0","0","0","1","0","20251001","20251228"
"5_672_20251001","0","0","0","0","0","0","1","20251001","20251228"
"5_668_20251229","1","1","1","1","1","0","0","20251229","20251230"
"5_670_20251229","0","0","0","0","0","1","0","20251229","20251230"
"5_672_20251229","0","0","0","0","0","0","1","20251229","20251230"
"5_668_20251231","1","1","1","1","1","0","0","20251231","20260331"
"5_670_20251231","0","0","0","0","0","1","0","20251231","20260331"
"5_672_20251231","0","0","0","0","0","0","1","20251231","20260331"
"5_702_20260401","1","1","1","1","1","0","0","20260401","20260710"
"5_704_20260401","0","0","0","0","0","1","0","20260401","20260710"
"5_706_20260401","0","0","0","0","0","0","1","20260401","20260710"
