"service_id","date","exception_type"
"1_581_20241027","20241104","2"
"1_585_20241027","20241104","1"
"1_583_20241027","20241109","2"
"1_584_20241027","20241109","1"
"1_583_20241027","20241123","2"
"1_585_20241027","20241123","1"
"1_583_20241027","20241214","2"
"1_584_20241027","20241214","1"
"1_581_20241027","20241224","2"
"1_582_20241027","20241224","1"
"1_581_20241027","20241225","2"
"1_582_20241027","20241225","1"
"1_581_20241027","20241226","2"
"1_582_20241027","20241226","1"
"1_581_20241027","20241227","2"
"1_582_20241027","20241227","1"
"1_583_20241027","20241228","2"
"1_584_20241027","20241228","1"
"1_602_20241231","20241231","2"
"1_596_20241231","20241231","1"
"1_602_20241231","20250101","2"
"1_596_20241231","20250101","1"
"1_602_20241231","20250102","2"
"1_596_20241231","20250102","1"
"1_602_20241231","20250103","2"
"1_596_20241231","20250103","1"
"1_604_20241231","20250104","2"
"1_605_20241231","20250104","1"
"1_602_20241231","20250106","2"
"1_603_20241231","20250106","1"
"1_604_20241231","20250111","2"
"1_605_20241231","20250111","1"
"1_602_20241231","20250113","2"
"1_606_20241231","20250113","1"
"1_604_20241231","20250125","2"
"1_605_20241231","20250125","1"
"1_604_20241231","20250208","2"
"1_605_20241231","20250208","1"
"1_602_20241231","20250211","2"
"1_606_20241231","20250211","1"
"1_604_20241231","20250222","2"
"1_605_20241231","20250222","1"
"1_602_20241231","20250224","2"
"1_606_20241231","20250224","1"
"1_604_20241231","20250308","2"
"1_605_20241231","20250308","1"
"1_602_20241231","20250320","2"
"1_606_20241231","20250320","1"
"1_602_20241231","20250321","2"
"1_603_20241231","20250321","1"
"1_604_20241231","20250322","2"
"1_605_20241231","20250322","1"
"1_602_20241231","20250324","2"
"1_603_20241231","20250324","1"
"1_602_20241231","20250325","2"
"1_603_20241231","20250325","1"
"1_602_20241231","20250326","2"
"1_603_20241231","20250326","1"
"1_602_20241231","20250327","2"
"1_603_20241231","20250327","1"
"1_602_20241231","20250328","2"
"1_603_20241231","20250328","1"
"1_604_20241231","20250329","2"
"1_605_20241231","20250329","1"
"1_602_20241231","20250331","2"
"1_603_20241231","20250331","1"
"1_617_20250401","20250401","2"
"1_621_20250401","20250401","1"
"1_617_20250401","20250402","2"
"1_621_20250401","20250402","1"
"1_617_20250401","20250403","2"
"1_621_20250401","20250403","1"
"1_617_20250401","20250404","2"
"1_621_20250401","20250404","1"
"1_618_20250401","20250405","2"
"1_622_20250401","20250405","1"
"1_618_20250401","20250412","2"
"1_622_20250401","20250412","1"
"1_618_20250401","20250426","2"
"1_622_20250401","20250426","1"
"1_617_20250401","20250429","2"
"1_619_20250401","20250429","1"
"1_618_20250401","20250503","2"
"1_619_20250401","20250503","1"
"1_617_20250401","20250505","2"
"1_619_20250401","20250505","1"
"1_617_20250401","20250506","2"
"1_619_20250401","20250506","1"
"1_618_20250401","20250510","2"
"1_622_20250401","20250510","1"
"1_618_20250401","20250524","2"
"1_622_20250401","20250524","1"
"1_618_20250401","20250614","2"
"1_622_20250401","20250614","1"
"1_637_20250621","20250628","2"
"1_641_20250621","20250628","1"
"1_637_20250621","20250712","2"
"1_641_20250621","20250712","1"
"1_636_20250621","20250721","2"
"1_638_20250621","20250721","1"
"1_636_20250621","20250722","2"
"1_640_20250621","20250722","1"
"1_636_20250621","20250723","2"
"1_640_20250621","20250723","1"
"1_636_20250621","20250724","2"
"1_640_20250621","20250724","1"
"1_636_20250621","20250725","2"
"1_640_20250621","20250725","1"
"1_637_20250621","20250726","2"
"1_641_20250621","20250726","1"
"1_636_20250621","20250728","2"
"1_640_20250621","20250728","1"
"1_636_20250621","20250729","2"
"1_640_20250621","20250729","1"
"1_636_20250621","20250730","2"
"1_640_20250621","20250730","1"
"1_636_20250621","20250731","2"
"1_640_20250621","20250731","1"
"1_636_20250621","20250801","2"
"1_640_20250621","20250801","1"
"1_637_20250621","20250802","2"
"1_641_20250621","20250802","1"
"1_636_20250621","20250804","2"
"1_640_20250621","20250804","1"
"1_636_20250621","20250805","2"
"1_640_20250621","20250805","1"
"1_636_20250621","20250806","2"
"1_640_20250621","20250806","1"
"1_636_20250621","20250807","2"
"1_640_20250621","20250807","1"
"1_636_20250621","20250808","2"
"1_640_20250621","20250808","1"
"1_637_20250621","20250809","2"
"1_641_20250621","20250809","1"
