"fare_id","price","currency_type","payment_method","transfers","transfer_duration"
"3_136_170_20251231","170","JPY","0","0",
"3_136_190_20251231","190","JPY","0","0",
"3_136_200_20251231","200","JPY","0","0",
"3_136_210_20251231","210","JPY","0","0",
"3_136_220_20251231","220","JPY","0","0",
"3_136_230_20251231","230","JPY","0","0",
"3_136_240_20251231","240","JPY","0","0",
"3_136_250_20251231","250","JPY","0","0",
"3_136_260_20251231","260","JPY","0","0",
"3_136_270_20251231","270","JPY","0","0",
"3_136_280_20251231","280","JPY","0","0",
"3_136_290_20251231","290","JPY","0","0",
"3_136_300_20251231","300","JPY","0","0",
"3_136_310_20251231","310","JPY","0","0",
"3_136_320_20251231","320","JPY","0","0",
"3_136_330_20251231","330","JPY","0","0",
"3_136_340_20251231","340","JPY","0","0",
"3_136_350_20251231","350","JPY","0","0",
"3_136_360_20251231","360","JPY","0","0",
"3_136_370_20251231","370","JPY","0","0",
"3_136_380_20251231","380","JPY","0","0",
"3_136_390_20251231","390","JPY","0","0",
"3_136_400_20251231","400","JPY","0","0",
"3_136_410_20251231","410","JPY","0","0",
"3_136_420_20251231","420","JPY","0","0",
"3_136_430_20251231","430","JPY","0","0",
"3_136_440_20251231","440","JPY","0","0",
"3_136_450_20251231","450","JPY","0","0",
"3_136_460_20251231","460","JPY","0","0",
"3_136_470_20251231","470","JPY","0","0",
"3_136_480_20251231","480","JPY","0","0",
"3_136_490_20251231","490","JPY","0","0",
"3_136_500_20251231","500","JPY","0","0",
"3_136_510_20251231","510","JPY","0","0",
"3_136_520_20251231","520","JPY","0","0",
"3_136_530_20251231","530","JPY","0","0",
"3_136_540_20251231","540","JPY","0","0",
"3_136_550_20251231","550","JPY","0","0",
"3_136_560_20251231","560","JPY","0","0",
"3_136_570_20251231","570","JPY","0","0",
"3_136_580_20251231","580","JPY","0","0",
"3_136_590_20251231","590","JPY","0","0",
"3_136_600_20251231","600","JPY","0","0",
"3_136_610_20251231","610","JPY","0","0",
"3_136_620_20251231","620","JPY","0","0",
"3_136_630_20251231","630","JPY","0","0",
"3_136_640_20251231","640","JPY","0","0",
"3_136_650_20251231","650","JPY","0","0",
"3_136_660_20251231","660","JPY","0","0",
"3_136_670_20251231","670","JPY","0","0",
"3_136_680_20251231","680","JPY","0","0",
"3_136_690_20251231","690","JPY","0","0",
"3_136_700_20251231","700","JPY","0","0",
"3_136_710_20251231","710","JPY","0","0",
"3_136_720_20251231","720","JPY","0","0",
"3_136_750_20251231","750","JPY","0","0",
"3_136_760_20251231","760","JPY","0","0",
"3_136_780_20251231","780","JPY","0","0",
"3_136_810_20251231","810","JPY","0","0",
"3_143_160_20251231","160","JPY","0","0",
"3_143_170_20251231","170","JPY","0","0",
"3_143_190_20251231","190","JPY","0","0",
"3_143_200_20251231","200","JPY","0","0",
"3_143_210_20251231","210","JPY","0","0",
"3_143_220_20251231","220","JPY","0","0",
"3_143_230_20251231","230","JPY","0","0",
"3_143_240_20251231","240","JPY","0","0",
"3_143_250_20251231","250","JPY","0","0",
"3_143_270_20251231","270","JPY","0","0",
"3_143_290_20251231","290","JPY","0","0",
"3_143_350_20251231","350","JPY","0","0",
"3_143_360_20251231","360","JPY","0","0",
"3_143_370_20251231","370","JPY","0","0",
"3_143_390_20251231","390","JPY","0","0",
"3_143_410_20251231","410","JPY","0","0",
"3_143_420_20251231","420","JPY","0","0",
"3_143_440_20251231","440","JPY","0","0",
"3_143_460_20251231","460","JPY","0","0",
"3_143_480_20251231","480","JPY","0","0",
"3_143_500_20251231","500","JPY","0","0",
"3_143_510_20251231","510","JPY","0","0",
"3_143_520_20251231","520","JPY","0","0",
"3_143_530_20251231","530","JPY","0","0",
"3_143_540_20251231","540","JPY","0","0",
"3_143_560_20251231","560","JPY","0","0",
"3_143_580_20251231","580","JPY","0","0",
"3_144_190_20251231","190","JPY","0","0",
"3_144_620_20251231","620","JPY","0","0",
"3_144_640_20251231","640","JPY","0","0",
"3_131_190_20260401","190","JPY","0","0",
"3_131_200_20260401","200","JPY","0","0",
"3_131_210_20260401","210","JPY","0","0",
"3_131_220_20260401","220","JPY","0","0",
"3_131_230_20260401","230","JPY","0","0",
"3_131_240_20260401","240","JPY","0","0",
"3_131_250_20260401","250","JPY","0","0",
"3_131_260_20260401","260","JPY","0","0",
"3_131_270_20260401","270","JPY","0","0",
"3_131_280_20260401","280","JPY","0","0",
"3_131_290_20260401","290","JPY","0","0",
"3_131_300_20260401","300","JPY","0","0",
"3_131_310_20260401","310","JPY","0","0",
"3_131_320_20260401","320","JPY","0","0",
"3_131_340_20260401","340","JPY","0","0",
"3_131_350_20260401","350","JPY","0","0",
"3_131_360_20260401","360","JPY","0","0",
"3_131_370_20260401","370","JPY","0","0",
"3_131_380_20260401","380","JPY","0","0",
"3_131_390_20260401","390","JPY","0","0",
"3_131_400_20260401","400","JPY","0","0",
"3_131_410_20260401","410","JPY","0","0",
"3_131_420_20260401","420","JPY","0","0",
"3_131_430_20260401","430","JPY","0","0",
"3_131_440_20260401","440","JPY","0","0",
"3_131_450_20260401","450","JPY","0","0",
"3_131_460_20260401","460","JPY","0","0",
"3_131_480_20260401","480","JPY","0","0",
"3_131_490_20260401","490","JPY","0","0",
"3_131_500_20260401","500","JPY","0","0",
"3_131_510_20260401","510","JPY","0","0",
"3_131_520_20260401","520","JPY","0","0",
"3_131_530_20260401","530","JPY","0","0",
"3_131_540_20260401","540","JPY","0","0",
"3_131_550_20260401","550","JPY","0","0",
"3_131_560_20260401","560","JPY","0","0",
"3_131_580_20260401","580","JPY","0","0",
"3_131_620_20260401","620","JPY","0","0",
"3_132_190_20260401","190","JPY","0","0",
"3_132_200_20260401","200","JPY","0","0",
"3_132_210_20260401","210","JPY","0","0",
"3_132_220_20260401","220","JPY","0","0",
"3_132_230_20260401","230","JPY","0","0",
"3_132_240_20260401","240","JPY","0","0",
"3_132_250_20260401","250","JPY","0","0",
"3_132_270_20260401","270","JPY","0","0",
"3_132_290_20260401","290","JPY","0","0",
"3_132_300_20260401","300","JPY","0","0",
"3_132_320_20260401","320","JPY","0","0",
"3_132_330_20260401","330","JPY","0","0",
"3_132_340_20260401","340","JPY","0","0",
"3_132_360_20260401","360","JPY","0","0",
"3_132_370_20260401","370","JPY","0","0",
"3_132_390_20260401","390","JPY","0","0",
"3_132_400_20260401","400","JPY","0","0",
"3_132_440_20260401","440","JPY","0","0",
"3_132_450_20260401","450","JPY","0","0",
"3_134_150_20260401","150","JPY","0","0",
"3_134_170_20260401","170","JPY","0","0",
"3_134_190_20260401","190","JPY","0","0",
"3_134_200_20260401","200","JPY","0","0",
"3_134_210_20260401","210","JPY","0","0",
"3_134_220_20260401","220","JPY","0","0",
"3_134_230_20260401","230","JPY","0","0",
"3_134_240_20260401","240","JPY","0","0",
"3_134_250_20260401","250","JPY","0","0",
"3_134_260_20260401","260","JPY","0","0",
"3_134_270_20260401","270","JPY","0","0",
"3_134_280_20260401","280","JPY","0","0",
"3_134_290_20260401","290","JPY","0","0",
"3_134_300_20260401","300","JPY","0","0",
"3_134_310_20260401","310","JPY","0","0",
"3_134_320_20260401","320","JPY","0","0",
"3_134_330_20260401","330","JPY","0","0",
"3_134_340_20260401","340","JPY","0","0",
"3_134_350_20260401","350","JPY","0","0",
"3_134_360_20260401","360","JPY","0","0",
"3_134_370_20260401","370","JPY","0","0",
"3_134_380_20260401","380","JPY","0","0",
"3_134_390_20260401","390","JPY","0","0",
"3_134_400_20260401","400","JPY","0","0",
"3_134_410_20260401","410","JPY","0","0",
"3_134_420_20260401","420","JPY","0","0",
"3_134_430_20260401","430","JPY","0","0",
"3_134_450_20260401","450","JPY","0","0",
"3_134_460_20260401","460","JPY","0","0",
"3_134_470_20260401","470","JPY","0","0",
"3_134_480_20260401","480","JPY","0","0",
"3_134_490_20260401","490","JPY","0","0",
"3_134_500_20260401","500","JPY","0","0",
"3_134_510_20260401","510","JPY","0","0",
"3_134_520_20260401","520","JPY","0","0",
"3_134_530_20260401","530","JPY","0","0",
"3_134_540_20260401","540","JPY","0","0",
"3_134_550_20260401","550","JPY","0","0",
"3_134_560_20260401","560","JPY","0","0",
"3_134_570_20260401","570","JPY","0","0",
"3_134_580_20260401","580","JPY","0","0",
"3_134_590_20260401","590","JPY","0","0",
"3_134_600_20260401","600","JPY","0","0",
"3_134_620_20260401","620","JPY","0","0",
"3_134_630_20260401","630","JPY","0","0",
"3_134_640_20260401","640","JPY","0","0",
"3_134_650_20260401","650","JPY","0","0",
"3_134_660_20260401","660","JPY","0","0",
"3_134_670_20260401","670","JPY","0","0",
"3_134_690_20260401","690","JPY","0","0",
"3_134_700_20260401","700","JPY","0","0",
"3_134_710_20260401","710","JPY","0","0",
"3_134_720_20260401","720","JPY","0","0",
"3_134_730_20260401","730","JPY","0","0",
"3_134_750_20260401","750","JPY","0","0",
"3_134_780_20260401","780","JPY","0","0",
"3_134_790_20260401","790","JPY","0","0",
"3_134_810_20260401","810","JPY","0","0",
"3_135_190_20260401","190","JPY","0","0",
"3_135_200_20260401","200","JPY","0","0",
"3_135_210_20260401","210","JPY","0","0",
"3_135_220_20260401","220","JPY","0","0",
"3_135_230_20260401","230","JPY","0","0",
"3_135_240_20260401","240","JPY","0","0",
"3_135_250_20260401","250","JPY","0","0",
"3_135_260_20260401","260","JPY","0","0",
"3_135_270_20260401","270","JPY","0","0",
"3_135_280_20260401","280","JPY","0","0",
"3_135_290_20260401","290","JPY","0","0",
"3_135_300_20260401","300","JPY","0","0",
"3_135_310_20260401","310","JPY","0","0",
"3_135_320_20260401","320","JPY","0","0",
"3_135_330_20260401","330","JPY","0","0",
"3_135_340_20260401","340","JPY","0","0",
"3_135_350_20260401","350","JPY","0","0",
"3_135_360_20260401","360","JPY","0","0",
"3_135_370_20260401","370","JPY","0","0",
"3_135_380_20260401","380","JPY","0","0",
"3_135_390_20260401","390","JPY","0","0",
"3_135_400_20260401","400","JPY","0","0",
"3_135_410_20260401","410","JPY","0","0",
"3_135_420_20260401","420","JPY","0","0",
"3_135_430_20260401","430","JPY","0","0",
"3_135_440_20260401","440","JPY","0","0",
"3_135_450_20260401","450","JPY","0","0",
"3_135_460_20260401","460","JPY","0","0",
"3_135_470_20260401","470","JPY","0","0",
"3_135_480_20260401","480","JPY","0","0",
"3_135_490_20260401","490","JPY","0","0",
"3_135_500_20260401","500","JPY","0","0",
"3_135_510_20260401","510","JPY","0","0",
"3_135_520_20260401","520","JPY","0","0",
"3_135_530_20260401","530","JPY","0","0",
"3_135_540_20260401","540","JPY","0","0",
"3_135_550_20260401","550","JPY","0","0",
"3_135_560_20260401","560","JPY","0","0",
"3_135_570_20260401","570","JPY","0","0",
"3_135_580_20260401","580","JPY","0","0",
"3_135_590_20260401","590","JPY","0","0",
"3_135_600_20260401","600","JPY","0","0",
"3_135_610_20260401","610","JPY","0","0",
"3_135_620_20260401","620","JPY","0","0",
"3_135_630_20260401","630","JPY","0","0",
"3_135_640_20260401","640","JPY","0","0",
"3_135_650_20260401","650","JPY","0","0",
"3_135_660_20260401","660","JPY","0","0",
"3_135_670_20260401","670","JPY","0","0",
"3_135_680_20260401","680","JPY","0","0",
"3_135_690_20260401","690","JPY","0","0",
"3_135_700_20260401","700","JPY","0","0",
"3_135_710_20260401","710","JPY","0","0",
"3_135_720_20260401","720","JPY","0","0",
"3_135_730_20260401","730","JPY","0","0",
"3_135_740_20260401","740","JPY","0","0",
"3_135_750_20260401","750","JPY","0","0",
"3_135_760_20260401","760","JPY","0","0",
"3_135_770_20260401","770","JPY","0","0",
"3_135_780_20260401","780","JPY","0","0",
"3_135_790_20260401","790","JPY","0","0",
"3_135_800_20260401","800","JPY","0","0",
"3_135_810_20260401","810","JPY","0","0",
"3_135_820_20260401","820","JPY","0","0",
"3_135_830_20260401","830","JPY","0","0",
"3_135_840_20260401","840","JPY","0","0",
"3_135_850_20260401","850","JPY","0","0",
"3_135_860_20260401","860","JPY","0","0",
"3_135_870_20260401","870","JPY","0","0",
"3_135_890_20260401","890","JPY","0","0",
"3_135_900_20260401","900","JPY","0","0",
"3_135_910_20260401","910","JPY","0","0",
"3_135_920_20260401","920","JPY","0","0",
"3_137_190_20260401","190","JPY","0","0",
"3_137_200_20260401","200","JPY","0","0",
"3_137_210_20260401","210","JPY","0","0",
"3_137_220_20260401","220","JPY","0","0",
"3_137_230_20260401","230","JPY","0","0",
"3_137_240_20260401","240","JPY","0","0",
"3_137_250_20260401","250","JPY","0","0",
"3_137_260_20260401","260","JPY","0","0",
"3_137_270_20260401","270","JPY","0","0",
"3_137_280_20260401","280","JPY","0","0",
"3_137_290_20260401","290","JPY","0","0",
"3_137_300_20260401","300","JPY","0","0",
"3_137_310_20260401","310","JPY","0","0",
"3_137_320_20260401","320","JPY","0","0",
"3_137_330_20260401","330","JPY","0","0",
"3_137_340_20260401","340","JPY","0","0",
"3_137_350_20260401","350","JPY","0","0",
"3_137_360_20260401","360","JPY","0","0",
"3_137_370_20260401","370","JPY","0","0",
"3_137_380_20260401","380","JPY","0","0",
"3_137_390_20260401","390","JPY","0","0",
"3_137_400_20260401","400","JPY","0","0",
"3_137_410_20260401","410","JPY","0","0",
"3_137_420_20260401","420","JPY","0","0",
"3_137_430_20260401","430","JPY","0","0",
"3_137_440_20260401","440","JPY","0","0",
"3_137_450_20260401","450","JPY","0","0",
"3_137_460_20260401","460","JPY","0","0",
"3_137_470_20260401","470","JPY","0","0",
"3_137_480_20260401","480","JPY","0","0",
"3_137_490_20260401","490","JPY","0","0",
"3_137_500_20260401","500","JPY","0","0",
"3_137_510_20260401","510","JPY","0","0",
"3_137_520_20260401","520","JPY","0","0",
"3_137_530_20260401","530","JPY","0","0",
"3_137_540_20260401","540","JPY","0","0",
"3_137_550_20260401","550","JPY","0","0",
"3_137_560_20260401","560","JPY","0","0",
"3_137_570_20260401","570","JPY","0","0",
"3_137_580_20260401","580","JPY","0","0",
"3_137_600_20260401","600","JPY","0","0",
"3_137_610_20260401","610","JPY","0","0",
"3_137_620_20260401","620","JPY","0","0",
"3_137_630_20260401","630","JPY","0","0",
"3_137_640_20260401","640","JPY","0","0",
"3_137_650_20260401","650","JPY","0","0",
"3_137_660_20260401","660","JPY","0","0",
"3_137_670_20260401","670","JPY","0","0",
"3_137_690_20260401","690","JPY","0","0",
"3_137_700_20260401","700","JPY","0","0",
"3_137_730_20260401","730","JPY","0","0",
"3_138_190_20260401","190","JPY","0","0",
"3_138_200_20260401","200","JPY","0","0",
"3_138_210_20260401","210","JPY","0","0",
"3_138_220_20260401","220","JPY","0","0",
"3_138_230_20260401","230","JPY","0","0",
"3_138_240_20260401","240","JPY","0","0",
"3_138_250_20260401","250","JPY","0","0",
"3_138_260_20260401","260","JPY","0","0",
"3_138_280_20260401","280","JPY","0","0",
"3_138_290_20260401","290","JPY","0","0",
"3_138_300_20260401","300","JPY","0","0",
"3_138_320_20260401","320","JPY","0","0",
"3_138_330_20260401","330","JPY","0","0",
"3_138_340_20260401","340","JPY","0","0",
"3_138_350_20260401","350","JPY","0","0",
"3_138_360_20260401","360","JPY","0","0",
"3_138_370_20260401","370","JPY","0","0",
"3_138_380_20260401","380","JPY","0","0",
"3_138_390_20260401","390","JPY","0","0",
"3_138_400_20260401","400","JPY","0","0",
"3_138_410_20260401","410","JPY","0","0",
"3_138_420_20260401","420","JPY","0","0",
"3_138_430_20260401","430","JPY","0","0",
"3_138_440_20260401","440","JPY","0","0",
"3_138_450_20260401","450","JPY","0","0",
"3_138_460_20260401","460","JPY","0","0",
"3_138_470_20260401","470","JPY","0","0",
"3_138_480_20260401","480","JPY","0","0",
"3_138_490_20260401","490","JPY","0","0",
"3_138_500_20260401","500","JPY","0","0",
"3_138_510_20260401","510","JPY","0","0",
"3_138_520_20260401","520","JPY","0","0",
"3_138_530_20260401","530","JPY","0","0",
"3_138_540_20260401","540","JPY","0","0",
"3_138_550_20260401","550","JPY","0","0",
"3_138_560_20260401","560","JPY","0","0",
"3_138_570_20260401","570","JPY","0","0",
"3_138_580_20260401","580","JPY","0","0",
"3_138_590_20260401","590","JPY","0","0",
"3_138_600_20260401","600","JPY","0","0",
"3_138_610_20260401","610","JPY","0","0",
"3_138_620_20260401","620","JPY","0","0",
"3_138_630_20260401","630","JPY","0","0",
"3_138_640_20260401","640","JPY","0","0",
"3_138_650_20260401","650","JPY","0","0",
"3_138_660_20260401","660","JPY","0","0",
"3_138_670_20260401","670","JPY","0","0",
"3_138_690_20260401","690","JPY","0","0",
"3_138_700_20260401","700","JPY","0","0",
"3_138_710_20260401","710","JPY","0","0",
"3_138_720_20260401","720","JPY","0","0",
"3_138_750_20260401","750","JPY","0","0",
"3_139_190_20260401","190","JPY","0","0",
"3_141_150_20260401","150","JPY","0","0",
"3_141_170_20260401","170","JPY","0","0",
"3_141_190_20260401","190","JPY","0","0",
"3_141_200_20260401","200","JPY","0","0",
"3_141_210_20260401","210","JPY","0","0",
"3_141_220_20260401","220","JPY","0","0",
"3_141_230_20260401","230","JPY","0","0",
"3_141_240_20260401","240","JPY","0","0",
"3_141_250_20260401","250","JPY","0","0",
"3_141_260_20260401","260","JPY","0","0",
"3_141_270_20260401","270","JPY","0","0",
"3_141_280_20260401","280","JPY","0","0",
"3_141_290_20260401","290","JPY","0","0",
"3_141_320_20260401","320","JPY","0","0",
"3_141_330_20260401","330","JPY","0","0",
"3_141_340_20260401","340","JPY","0","0",
"3_141_350_20260401","350","JPY","0","0",
"3_141_360_20260401","360","JPY","0","0",
"3_141_380_20260401","380","JPY","0","0",
"3_141_400_20260401","400","JPY","0","0",
"3_141_420_20260401","420","JPY","0","0",
"3_141_440_20260401","440","JPY","0","0",
"1_146_190_20260401","190","JPY","0","0",
"1_163_150_20260401","150","JPY","0","0",
"1_163_190_20260401","190","JPY","0","0",
"1_163_200_20260401","200","JPY","0","0",
"1_163_210_20260401","210","JPY","0","0",
