"fare_id","route_id","origin_id","destination_id","contains_id"
"3_136_190_20251231","3_136_20251231","42_85","43_87",
"3_136_220_20251231","3_136_20251231","42_85","44_89",
"3_136_270_20251231","3_136_20251231","42_85","56_113",
"3_136_490_20251231","3_136_20251231","42_85","116_240",
"3_136_310_20251231","3_136_20251231","42_85","248_508",
"3_136_360_20251231","3_136_20251231","42_85","418_855",
"3_136_220_20251231","3_136_20251231","42_85","419_857",
"3_136_190_20251231","3_136_20251231","42_85","449_916",
"3_136_310_20251231","3_136_20251231","42_85","535_1095",
"3_136_400_20251231","3_136_20251231","42_85","538_1102",
"3_136_190_20251231","3_136_20251231","42_85","545_1115",
"3_136_560_20251231","3_136_20251231","42_85","552_1130",
"3_136_250_20251231","3_136_20251231","42_85","558_1141",
"3_136_490_20251231","3_136_20251231","42_85","631_1287",
"3_136_190_20251231","3_136_20251231","42_85","664_1355",
"3_136_220_20251231","3_136_20251231","42_85","720_1467",
"3_136_540_20251231","3_136_20251231","42_85","779_1592",
"3_136_300_20251231","3_136_20251231","42_85","806_1650",
"3_136_240_20251231","3_136_20251231","42_85","807_1653",
"3_136_270_20251231","3_136_20251231","42_85","809_1657",
"3_136_610_20251231","3_136_20251231","42_85","881_1810",
"3_136_250_20251231","3_136_20251231","42_85","887_1822",
"3_136_310_20251231","3_136_20251231","42_85","889_1826",
"3_136_250_20251231","3_136_20251231","42_85","890_1827",
"3_136_560_20251231","3_136_20251231","42_85","898_1846",
"3_136_250_20251231","3_136_20251231","42_85","916_1886",
"3_136_360_20251231","3_136_20251231","42_85","971_1997",
"3_136_510_20251231","3_136_20251231","42_85","982_2021",
"3_136_510_20251231","3_136_20251231","42_85","1020_2103",
"3_136_510_20251231","3_136_20251231","42_85","1021_2105",
"3_136_190_20251231","3_136_20251231","42_85","1047_2157",
"3_136_650_20251231","3_136_20251231","42_85","1085_2233",
"3_136_650_20251231","3_136_20251231","42_85","1087_2237",
"3_136_650_20251231","3_136_20251231","42_85","1089_2241",
"3_136_400_20251231","3_136_20251231","42_85","1178_2437",
"3_136_450_20251231","3_136_20251231","42_85","1179_2439",
"3_136_240_20251231","3_136_20251231","42_85","1189_2459",
"3_136_360_20251231","3_136_20251231","42_85","1225_2533",
"3_136_590_20251231","3_136_20251231","42_85","1233_2550",
"3_136_590_20251231","3_136_20251231","42_85","1234_2551",
"3_136_220_20251231","3_136_20251231","42_85","1261_2613",
"3_136_610_20251231","3_136_20251231","42_85","1276_2645",
"3_136_190_20251231","3_136_20251231","42_85","1318_2726",
"3_136_190_20251231","3_136_20251231","42_85","1890_3361",
"3_136_190_20251231","3_136_20251231","42_85","1890_3866",
"3_136_190_20251231","3_136_20251231","43_88","42_85",
"3_136_220_20251231","3_136_20251231","43_87","44_89",
"3_136_270_20251231","3_136_20251231","43_88","56_113",
"3_136_490_20251231","3_136_20251231","43_87","116_240",
"3_136_310_20251231","3_136_20251231","43_87","248_508",
"3_136_360_20251231","3_136_20251231","43_87","418_855",
"3_136_220_20251231","3_136_20251231","43_87","419_857",
"3_136_190_20251231","3_136_20251231","43_87","449_916",
"3_136_310_20251231","3_136_20251231","43_87","535_1095",
"3_136_400_20251231","3_136_20251231","43_87","538_1102",
"3_136_190_20251231","3_136_20251231","43_87","545_1115",
"3_136_560_20251231","3_136_20251231","43_87","552_1130",
"3_136_250_20251231","3_136_20251231","43_87","558_1141",
"3_136_490_20251231","3_136_20251231","43_87","631_1287",
"3_136_190_20251231","3_136_20251231","43_87","664_1355",
"3_136_220_20251231","3_136_20251231","43_87","720_1467",
"3_136_540_20251231","3_136_20251231","43_87","779_1592",
"3_136_300_20251231","3_136_20251231","43_88","806_1650",
"3_136_240_20251231","3_136_20251231","43_88","807_1653",
"3_136_270_20251231","3_136_20251231","43_88","809_1657",
"3_136_610_20251231","3_136_20251231","43_87","881_1810",
"3_136_250_20251231","3_136_20251231","43_87","887_1822",
"3_136_310_20251231","3_136_20251231","43_87","889_1826",
"3_136_250_20251231","3_136_20251231","43_87","890_1827",
"3_136_560_20251231","3_136_20251231","43_87","898_1846",
"3_136_250_20251231","3_136_20251231","43_87","916_1886",
"3_136_360_20251231","3_136_20251231","43_87","971_1997",
"3_136_510_20251231","3_136_20251231","43_87","982_2021",
"3_136_510_20251231","3_136_20251231","43_87","1020_2103",
"3_136_510_20251231","3_136_20251231","43_87","1021_2105",
"3_136_190_20251231","3_136_20251231","43_88","1047_2157",
"3_136_650_20251231","3_136_20251231","43_87","1085_2233",
"3_136_650_20251231","3_136_20251231","43_87","1087_2237",
"3_136_650_20251231","3_136_20251231","43_87","1089_2241",
"3_136_400_20251231","3_136_20251231","43_87","1178_2437",
"3_136_450_20251231","3_136_20251231","43_87","1179_2439",
"3_136_240_20251231","3_136_20251231","43_88","1189_2459",
"3_136_360_20251231","3_136_20251231","43_87","1225_2533",
"3_136_590_20251231","3_136_20251231","43_87","1233_2550",
"3_136_590_20251231","3_136_20251231","43_87","1234_2551",
"3_136_220_20251231","3_136_20251231","43_87","1261_2613",
"3_136_610_20251231","3_136_20251231","43_87","1276_2645",
"3_136_190_20251231","3_136_20251231","43_87","1318_2726",
"3_136_190_20251231","3_136_20251231","43_87","1890_3361",
"3_136_190_20251231","3_136_20251231","43_87","1890_3866",
"3_136_220_20251231","3_136_20251231","44_90","42_85",
"3_136_220_20251231","3_136_20251231","44_90","43_88",
"3_136_380_20251231","3_136_20251231","44_90","56_113",
"3_136_390_20251231","3_136_20251231","44_89","116_240",
"3_136_420_20251231","3_136_20251231","44_89","121_250",
"3_136_380_20251231","3_136_20251231","44_89","139_285",
"3_136_200_20251231","3_136_20251231","44_89","179_368",
"3_136_200_20251231","3_136_20251231","44_89","180_370",
"3_136_210_20251231","3_136_20251231","44_89","248_508",
"3_136_380_20251231","3_136_20251231","44_89","309_632",
"3_136_250_20251231","3_136_20251231","44_89","418_855",
"3_136_190_20251231","3_136_20251231","44_90","419_858",
"3_136_310_20251231","3_136_20251231","44_89","441_900",
"3_136_190_20251231","3_136_20251231","44_90","449_917",
"3_136_210_20251231","3_136_20251231","44_89","535_1095",
"3_136_290_20251231","3_136_20251231","44_89","538_1102",
"3_136_220_20251231","3_136_20251231","44_90","545_1116",
"3_136_470_20251231","3_136_20251231","44_89","552_1130",
"3_136_190_20251231","3_136_20251231","44_89","558_1141",
"3_136_390_20251231","3_136_20251231","44_89","631_1287",
"3_136_220_20251231","3_136_20251231","44_90","664_1356",
"3_136_190_20251231","3_136_20251231","44_90","720_1468",
"3_136_250_20251231","3_136_20251231","44_89","740_1512",
"3_136_250_20251231","3_136_20251231","44_89","741_1513",
"3_136_250_20251231","3_136_20251231","44_89","742_1516",
"3_136_450_20251231","3_136_20251231","44_89","779_1592",
"3_136_410_20251231","3_136_20251231","44_90","806_1650",
"3_136_350_20251231","3_136_20251231","44_90","807_1653",
"3_136_380_20251231","3_136_20251231","44_90","809_1657",
"3_136_340_20251231","3_136_20251231","44_89","846_1736",
"3_136_310_20251231","3_136_20251231","44_89","858_1761",
"3_136_530_20251231","3_136_20251231","44_89","881_1810",
"3_136_190_20251231","3_136_20251231","44_89","887_1822",
"3_136_190_20251231","3_136_20251231","44_89","888_1824",
"3_136_210_20251231","3_136_20251231","44_89","889_1826",
"3_136_190_20251231","3_136_20251231","44_89","890_1827",
"3_136_470_20251231","3_136_20251231","44_89","898_1846",
"3_136_190_20251231","3_136_20251231","44_89","916_1886",
"3_136_310_20251231","3_136_20251231","44_89","927_1907",
"3_136_250_20251231","3_136_20251231","44_89","971_1997",
"3_136_420_20251231","3_136_20251231","44_89","982_2021",
"3_136_420_20251231","3_136_20251231","44_89","1020_2103",
"3_136_420_20251231","3_136_20251231","44_89","1021_2104",
"3_136_420_20251231","3_136_20251231","44_89","1021_2105",
"3_136_260_20251231","3_136_20251231","44_90","1047_2157",
"3_136_560_20251231","3_136_20251231","44_89","1085_2233",
"3_136_560_20251231","3_136_20251231","44_89","1087_2237",
"3_136_560_20251231","3_136_20251231","44_89","1089_2241",
"3_136_290_20251231","3_136_20251231","44_89","1178_2437",
"3_136_350_20251231","3_136_20251231","44_89","1179_2439",
"3_136_420_20251231","3_136_20251231","44_89","1188_2457",
"3_136_350_20251231","3_136_20251231","44_90","1189_2459",
"3_136_250_20251231","3_136_20251231","44_89","1225_2533",
"3_136_500_20251231","3_136_20251231","44_89","1233_2550",
"3_136_500_20251231","3_136_20251231","44_89","1234_2551",
"3_136_190_20251231","3_136_20251231","44_90","1261_2612",
"3_136_530_20251231","3_136_20251231","44_89","1276_2645",
"3_136_220_20251231","3_136_20251231","44_90","1318_2726",
"3_136_220_20251231","3_136_20251231","44_90","1890_3361",
"3_136_220_20251231","3_136_20251231","44_90","1890_3866",
"3_136_270_20251231","3_136_20251231","56_114","42_85",
"3_136_270_20251231","3_136_20251231","56_114","43_87",
"3_136_380_20251231","3_136_20251231","56_114","44_89",
"3_136_620_20251231","3_136_20251231","56_114","116_240",
"3_136_470_20251231","3_136_20251231","56_114","248_508",
"3_136_500_20251231","3_136_20251231","56_114","418_855",
"3_136_380_20251231","3_136_20251231","56_114","419_857",
"3_136_330_20251231","3_136_20251231","56_114","449_916",
"3_136_470_20251231","3_136_20251231","56_114","535_1095",
"3_136_560_20251231","3_136_20251231","56_114","538_1102",
"3_136_330_20251231","3_136_20251231","56_114","545_1115",
"3_136_700_20251231","3_136_20251231","56_114","552_1130",
"3_136_420_20251231","3_136_20251231","56_114","558_1141",
"3_136_620_20251231","3_136_20251231","56_114","631_1287",
"3_136_330_20251231","3_136_20251231","56_114","664_1355",
"3_136_380_20251231","3_136_20251231","56_114","720_1467",
"3_136_660_20251231","3_136_20251231","56_114","779_1592",
"3_136_190_20251231","3_136_20251231","56_113","806_1650",
"3_136_190_20251231","3_136_20251231","56_114","807_1652",
"3_136_190_20251231","3_136_20251231","56_113","809_1657",
"3_136_750_20251231","3_136_20251231","56_114","881_1810",
"3_136_420_20251231","3_136_20251231","56_114","887_1822",
"3_136_470_20251231","3_136_20251231","56_114","889_1826",
"3_136_420_20251231","3_136_20251231","56_114","890_1827",
"3_136_700_20251231","3_136_20251231","56_114","898_1846",
