"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled"
"1_692_307_2_5007_20260401","09:30:00","09:30:00","999_2055","1",,"0","1",
"1_693_307_2_5007_20260401","09:30:00","09:30:00","999_2055","1",,"0","1",
"1_693_307_2_5007_20260401","09:31:00","09:31:00","1019_2101","2",,"0","0",
"1_692_307_2_5007_20260401","09:31:00","09:31:00","1019_2101","2",,"0","0",
"1_692_307_2_5007_20260401","09:32:00","09:32:00","767_1565","3",,"0","0",
"1_693_307_2_5007_20260401","09:32:00","09:32:00","767_1565","3",,"0","0",
"1_692_307_2_5007_20260401","09:33:00","09:33:00","1210_2502","4",,"0","0",
"1_693_307_2_5007_20260401","09:33:00","09:33:00","1210_2502","4",,"0","0",
"1_692_307_2_5007_20260401","09:34:00","09:34:00","1152_2375","5",,"0","0",
"1_693_307_2_5007_20260401","09:34:00","09:34:00","1152_2375","5",,"0","0",
"1_692_307_2_5007_20260401","09:36:00","09:36:00","111_226","6",,"0","0",
"1_693_307_2_5007_20260401","09:36:00","09:36:00","111_226","6",,"0","0",
"1_692_307_2_5007_20260401","09:37:00","09:37:00","932_1917","7",,"0","0",
"1_693_307_2_5007_20260401","09:37:00","09:37:00","932_1917","7",,"0","0",
"1_693_307_2_5007_20260401","09:38:00","09:38:00","934_1922","8",,"0","0",
"1_692_307_2_5007_20260401","09:38:00","09:38:00","934_1922","8",,"0","0",
"1_692_307_2_5007_20260401","09:39:00","09:39:00","1175_2429","9",,"0","0",
"1_693_307_2_5007_20260401","09:39:00","09:39:00","1175_2429","9",,"0","0",
"1_693_307_2_5007_20260401","09:40:00","09:40:00","613_1252","10",,"0","0",
"1_692_307_2_5007_20260401","09:40:00","09:40:00","613_1252","10",,"0","0",
"1_693_307_2_5007_20260401","09:42:00","09:42:00","576_1177","11",,"0","0",
"1_692_307_2_5007_20260401","09:42:00","09:42:00","576_1177","11",,"0","0",
"1_693_307_2_5007_20260401","09:44:00","09:44:00","1281_2654","12",,"0","0",
"1_692_307_2_5007_20260401","09:44:00","09:44:00","1281_2654","12",,"0","0",
"1_692_307_2_5007_20260401","09:45:00","09:45:00","913_1878","13",,"0","0",
"1_693_307_2_5007_20260401","09:45:00","09:45:00","913_1878","13",,"0","0",
"1_693_307_2_5007_20260401","09:46:00","09:46:00","923_1899","14",,"0","0",
"1_692_307_2_5007_20260401","09:46:00","09:46:00","923_1899","14",,"0","0",
"1_692_307_2_5007_20260401","09:47:00","09:47:00","1132_2331","15",,"0","0",
"1_693_307_2_5007_20260401","09:47:00","09:47:00","1132_2331","15",,"0","0",
"1_693_307_2_5007_20260401","09:48:00","09:48:00","1128_2321","16",,"0","0",
"1_692_307_2_5007_20260401","09:48:00","09:48:00","1128_2321","16",,"0","0",
"1_692_307_2_5007_20260401","09:49:00","09:49:00","721_1470","17",,"0","0",
"1_693_307_2_5007_20260401","09:49:00","09:49:00","721_1470","17",,"0","0",
"1_692_307_2_5007_20260401","09:51:00","09:51:00","246_502","18",,"0","0",
"1_693_307_2_5007_20260401","09:51:00","09:51:00","246_502","18",,"0","0",
"1_692_307_2_5007_20260401","09:52:00","09:52:00","528_1079","19",,"0","0",
"1_693_307_2_5007_20260401","09:52:00","09:52:00","528_1079","19",,"0","0",
"1_692_307_2_5007_20260401","09:55:00","09:55:00","1000_10","20",,"0","0",
"1_693_307_2_5007_20260401","09:55:00","09:55:00","1000_10","20",,"0","0",
"1_693_307_2_5007_20260401","09:56:00","09:56:00","527_1078","21",,"0","0",
"1_692_307_2_5007_20260401","09:56:00","09:56:00","527_1078","21",,"0","0",
"1_693_307_2_5007_20260401","09:58:00","09:58:00","1292_2676","22",,"0","0",
"1_692_307_2_5007_20260401","09:58:00","09:58:00","1292_2676","22",,"0","0",
"1_693_307_2_5007_20260401","09:59:00","09:59:00","389_799","23",,"0","0",
"1_692_307_2_5007_20260401","09:59:00","09:59:00","389_799","23",,"0","0",
"1_692_307_2_5007_20260401","10:00:00","10:00:00","999_2055","24",,"1","0",
"1_693_307_2_5007_20260401","10:00:00","10:00:00","999_2055","24",,"1","0",
"1_693_307_2_5010_20260401","10:30:00","10:30:00","999_2055","1",,"0","1",
"1_692_307_2_5010_20260401","10:30:00","10:30:00","999_2055","1",,"0","1",
"1_693_307_2_5010_20260401","10:31:00","10:31:00","1019_2101","2",,"0","0",
"1_692_307_2_5010_20260401","10:31:00","10:31:00","1019_2101","2",,"0","0",
"1_692_307_2_5010_20260401","10:32:00","10:32:00","767_1565","3",,"0","0",
"1_693_307_2_5010_20260401","10:32:00","10:32:00","767_1565","3",,"0","0",
"1_692_307_2_5010_20260401","10:33:00","10:33:00","1210_2502","4",,"0","0",
"1_693_307_2_5010_20260401","10:33:00","10:33:00","1210_2502","4",,"0","0",
"1_693_307_2_5010_20260401","10:34:00","10:34:00","1152_2375","5",,"0","0",
"1_692_307_2_5010_20260401","10:34:00","10:34:00","1152_2375","5",,"0","0",
"1_692_307_2_5010_20260401","10:36:00","10:36:00","111_226","6",,"0","0",
"1_693_307_2_5010_20260401","10:36:00","10:36:00","111_226","6",,"0","0",
"1_692_307_2_5010_20260401","10:37:00","10:37:00","932_1917","7",,"0","0",
"1_693_307_2_5010_20260401","10:37:00","10:37:00","932_1917","7",,"0","0",
"1_692_307_2_5010_20260401","10:38:00","10:38:00","934_1922","8",,"0","0",
"1_693_307_2_5010_20260401","10:38:00","10:38:00","934_1922","8",,"0","0",
"1_692_307_2_5010_20260401","10:39:00","10:39:00","1175_2429","9",,"0","0",
"1_693_307_2_5010_20260401","10:39:00","10:39:00","1175_2429","9",,"0","0",
"1_692_307_2_5010_20260401","10:40:00","10:40:00","613_1252","10",,"0","0",
"1_693_307_2_5010_20260401","10:40:00","10:40:00","613_1252","10",,"0","0",
"1_693_307_2_5010_20260401","10:42:00","10:42:00","576_1177","11",,"0","0",
"1_692_307_2_5010_20260401","10:42:00","10:42:00","576_1177","11",,"0","0",
"1_692_307_2_5010_20260401","10:44:00","10:44:00","1281_2654","12",,"0","0",
"1_693_307_2_5010_20260401","10:44:00","10:44:00","1281_2654","12",,"0","0",
"1_692_307_2_5010_20260401","10:45:00","10:45:00","913_1878","13",,"0","0",
"1_693_307_2_5010_20260401","10:45:00","10:45:00","913_1878","13",,"0","0",
"1_692_307_2_5010_20260401","10:46:00","10:46:00","923_1899","14",,"0","0",
"1_693_307_2_5010_20260401","10:46:00","10:46:00","923_1899","14",,"0","0",
"1_693_307_2_5010_20260401","10:47:00","10:47:00","1132_2331","15",,"0","0",
"1_692_307_2_5010_20260401","10:47:00","10:47:00","1132_2331","15",,"0","0",
