"table_name","field_name","field_value","language","translation"
"routes","route_long_name","まわローズ(青ルート）","en","Mawarose"
"routes","route_long_name","まわローズ(青ルート）","ja","まわローズ(青ルート）"
"routes","route_long_name","まわローズ(青ルート）","ja-Hrkt","マワローズアオルート"
"routes","route_long_name","みろくの里・神勝寺 直行便","en","Mirokunosato・Shinshoji(Direct)"
"routes","route_long_name","みろくの里・神勝寺 直行便","ja","みろくの里・神勝寺 直行便"
"routes","route_long_name","みろくの里・神勝寺 直行便","ja-Hrkt","ミロクノサトシンショウジ"
"routes","route_long_name","三原福地線","en","MiharaFukuchi"
"routes","route_long_name","三原福地線","ja","三原福地線"
"routes","route_long_name","三原福地線","ja-Hrkt","ミハラフクチセン"
"routes","route_long_name","三原駅・如水館線(深線)","en","Miharaeki・Josuikan (Fuka)"
"routes","route_long_name","三原駅・如水館線(深線)","ja","三原駅・如水館線(深線)"
"routes","route_long_name","三原駅・如水館線(深線)","ja-Hrkt","ミハラエキジョスイカンセン"
"routes","route_long_name","如水館線","en","Josuikan"
"routes","route_long_name","如水館線","ja","如水館線"
"routes","route_long_name","如水館線","ja-Hrkt","ジョスイカンセン"
"routes","route_long_name","尾道工業団地線","en","Onomichikogyodanchi"
"routes","route_long_name","尾道工業団地線","ja","尾道工業団地線"
"routes","route_long_name","尾道工業団地線","ja-Hrkt","オノミチコウギョウダンチセン"
"routes","route_long_name","尾道線","en","Onomichi"
"routes","route_long_name","尾道線","ja","尾道線"
"routes","route_long_name","尾道線","ja-Hrkt","オノミチセン"
"routes","route_long_name","市内線","en","Shinai"
"routes","route_long_name","市内線","ja","市内線"
"routes","route_long_name","市内線","ja-Hrkt","シナイセン"
"routes","route_long_name","新川線","en","Shinkawa"
"routes","route_long_name","新川線","ja","新川線"
"routes","route_long_name","新川線","ja-Hrkt","シンカワセン"
"routes","route_long_name","早戸線","en","Hayato"
"routes","route_long_name","早戸線","ja","早戸線"
"routes","route_long_name","早戸線","ja-Hrkt","ハヤトセン"
"routes","route_long_name","明王台線","en","Myooudai"
"routes","route_long_name","明王台線","ja","明王台線"
"routes","route_long_name","明王台線","ja-Hrkt","ミョウオウダイセン"
"routes","route_long_name","沼南線","en","Syonan"
"routes","route_long_name","沼南線","ja","沼南線"
"routes","route_long_name","沼南線","ja-Hrkt","ショウナンセン"
"routes","route_long_name","鞆線","en","Tomo"
"routes","route_long_name","鞆線","ja","鞆線"
"routes","route_long_name","鞆線","ja-Hrkt","トモセン"
"stops","stop_name","かんかん石","en","Kankanishi"
"stops","stop_name","かんかん石","ja","かんかん石"
"stops","stop_name","かんかん石","ja-Hrkt","カンカンイシ"
"stops","stop_name","こども家庭センター前","en","Kodomokateicenter-mae"
"stops","stop_name","こども家庭センター前","ja","こども家庭センター前"
"stops","stop_name","こども家庭センター前","ja-Hrkt","コドモカテイセンターマエ"
"stops","stop_name","すこやかセンター前","en","Sukoyakacenter-mae"
"stops","stop_name","すこやかセンター前","ja","すこやかセンター前"
"stops","stop_name","すこやかセンター前","ja-Hrkt","スコヤカセンターマエ"
"stops","stop_name","たじりこども園前","en","Tajirikodomoen-mae"
"stops","stop_name","たじりこども園前","ja","たじりこども園前"
"stops","stop_name","たじりこども園前","ja-Hrkt","タジリコドモエンマエ"
"stops","stop_name","ぬまくまハーブガーデン前","en","Numakumahabugaden-mae"
"stops","stop_name","ぬまくまハーブガーデン前","ja","ぬまくまハーブガーデン前"
"stops","stop_name","ぬまくまハーブガーデン前","ja-Hrkt","ヌマクマハーブガーデンマエ"
"stops","stop_name","はきもの資料館前","en","Hakimonoshiryoukan-mae"
"stops","stop_name","はきもの資料館前","ja","はきもの資料館前"
"stops","stop_name","はきもの資料館前","ja-Hrkt","ハキモノシリョウカンマエ"
"stops","stop_name","ばら公園前","en","Barakoen-mae"
"stops","stop_name","ばら公園前","ja","ばら公園前"
"stops","stop_name","ばら公園前","ja-Hrkt","バラコウエンマエ"
"stops","stop_name","みろくの里","en","Mirokunosato"
"stops","stop_name","みろくの里","ja","みろくの里"
"stops","stop_name","みろくの里","ja-Hrkt","ミロクノサト"
"stops","stop_name","みろくの里入口","en","Mirokunosato-iriguchi"
"stops","stop_name","みろくの里入口","ja","みろくの里入口"
"stops","stop_name","みろくの里入口","ja-Hrkt","ミロクノサトイリグチ"
"stops","stop_name","みろくの里東口","en","Mirokunosatohigashiguchi"
"stops","stop_name","みろくの里東口","ja","みろくの里東口"
"stops","stop_name","みろくの里東口","ja-Hrkt","ミロクノサトヒガシグチ"
"stops","stop_name","みろくの里西","en","Mirokunosato-nishi"
"stops","stop_name","みろくの里西","ja","みろくの里西"
"stops","stop_name","みろくの里西","ja-Hrkt","ミロクノサトニシ"
"stops","stop_name","アロン化成前","en","Aronkasei-mae"
"stops","stop_name","アロン化成前","ja","アロン化成前"
"stops","stop_name","アロン化成前","ja-Hrkt","アロンカセイマエ"
"stops","stop_name","エクセル鞆の浦前","en","Ekuserutomonoura-mae"
"stops","stop_name","エクセル鞆の浦前","ja","エクセル鞆の浦前"
"stops","stop_name","エクセル鞆の浦前","ja-Hrkt","エクセルトモノウラマエ"
"stops","stop_name","エフピコアリーナふくやま前","en","F-Pico ArenaFUKUYAMA-mae"
"stops","stop_name","エフピコアリーナふくやま前","ja","エフピコアリーナふくやま前"
"stops","stop_name","エフピコアリーナふくやま前","ja-Hrkt","エフピコアリーナフクヤママエ"
"stops","stop_name","キャステム本社前(森脇下)","en","Kyastemhonshamae(moriwakesimo)"
"stops","stop_name","キャステム本社前(森脇下)","ja","キャステム本社前(森脇下)"
"stops","stop_name","キャステム本社前(森脇下)","ja-Hrkt","キャステムホンシャマエ"
"stops","stop_name","ジーベック前","en","XEBEC mae"
"stops","stop_name","ジーベック前","ja","ジーベック前"
"stops","stop_name","ジーベック前","ja-Hrkt","ジーベックマエ"
"stops","stop_name","スイミングスクール前","en","Suimingusukuru-mae"
"stops","stop_name","スイミングスクール前","ja","スイミングスクール前"
"stops","stop_name","スイミングスクール前","ja-Hrkt","スイミングスクールマエ"
"stops","stop_name","スカイライン入口","en","Sukairain-iriguchi"
"stops","stop_name","スカイライン入口","ja","スカイライン入口"
"stops","stop_name","スカイライン入口","ja-Hrkt","スカイラインイリグチ"
"stops","stop_name","トーヨド団地入口","en","Toyododanchi-iriguchi"
"stops","stop_name","トーヨド団地入口","ja","トーヨド団地入口"
"stops","stop_name","トーヨド団地入口","ja-Hrkt","トーヨドダンチイリグチ"
"stops","stop_name","ニチエー前","en","Nichie-mae"
"stops","stop_name","ニチエー前","ja","ニチエー前"
