"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id","wheelchair_accessible"
"1_146_20260401","1_692_20260401","1_692_307_2_5007_20260401","福山駅北口",,"1",,,,,"1",
"1_146_20260401","1_692_20260401","1_692_307_2_5010_20260401","福山駅北口",,"1",,,,,"1",
"1_146_20260401","1_692_20260401","1_692_307_2_5012_20260401","福山駅北口",,"1",,,,,"1",
"1_146_20260401","1_692_20260401","1_692_307_2_5017_20260401","福山駅北口",,"1",,,,,"1",
"1_146_20260401","1_692_20260401","1_692_307_2_5019_20260401","福山駅北口",,"1",,,,,"1",
"1_146_20260401","1_692_20260401","1_692_307_2_5021_20260401","福山駅北口",,"1",,,,,"1",
"1_146_20260401","1_692_20260401","1_692_307_2_5026_20260401","福山駅北口",,"1",,,,,"1",
"1_146_20260401","1_692_20260401","1_692_307_2_5028_20260401","福山駅北口",,"1",,,,,"1",
"1_146_20260401","1_692_20260401","1_692_307_2_5033_20260401","福山駅北口",,"1",,,,,"1",
"1_146_20260401","1_693_20260401","1_693_307_2_5007_20260401","福山駅北口",,"1",,,,,"1",
"1_146_20260401","1_693_20260401","1_693_307_2_5010_20260401","福山駅北口",,"1",,,,,"1",
"1_146_20260401","1_693_20260401","1_693_307_2_5012_20260401","福山駅北口",,"1",,,,,"1",
"1_146_20260401","1_693_20260401","1_693_307_2_5017_20260401","福山駅北口",,"1",,,,,"1",
"1_146_20260401","1_693_20260401","1_693_307_2_5019_20260401","福山駅北口",,"1",,,,,"1",
"1_146_20260401","1_693_20260401","1_693_307_2_5021_20260401","福山駅北口",,"1",,,,,"1",
"1_146_20260401","1_693_20260401","1_693_307_2_5026_20260401","福山駅北口",,"1",,,,,"1",
"1_146_20260401","1_693_20260401","1_693_307_2_5028_20260401","福山駅北口",,"1",,,,,"1",
"1_146_20260401","1_693_20260401","1_693_307_2_5033_20260401","福山駅北口",,"1",,,,,"1",
"1_146_20260401","1_694_20260401","1_694_307_2_5036_20260401","福山駅北口",,"1",,,,,"1",
"1_146_20260401","1_694_20260401","1_694_307_2_5039_20260401","福山駅北口",,"1",,,,,"1",
"1_146_20260401","1_694_20260401","1_694_307_2_5041_20260401","福山駅北口",,"1",,,,,"1",
"1_146_20260401","1_694_20260401","1_694_307_2_5046_20260401","福山駅北口",,"1",,,,,"1",
"1_146_20260401","1_694_20260401","1_694_307_2_5048_20260401","福山駅北口",,"1",,,,,"1",
"1_146_20260401","1_694_20260401","1_694_307_2_5050_20260401","福山駅北口",,"1",,,,,"1",
